Reaction	EC-Number	In-Pathway	Substrates
L-proline + NAD(P)+  <-  (S)-1-pyrroline-5-carboxylate + NAD(P)H + 2 H+	EC-1.5.1.2	L-proline biosynthesis III // L-arginine degradation VI (arginase 2 pathway) // L-proline biosynthesis I	NAD(P)<sup>+</sup> // L-proline // NAD(P)H // (<i>S</i>)-1-pyrroline-5-carboxylate // H<SUP>+</SUP>
UDP-beta-L-arabinopyranose  <-->  UDP-alpha-D-xylose	EC-5.1.3.5	UDP-&beta;-L-arabinose biosynthesis I (from UDP-&alpha;-D-xylose)	UDP-&beta;-L-arabinopyranose // UDP-&alpha;-D-xylose
an N-(sulfonatooxy)alkenimidothioic acid with a terminal double bond  ->  an epithionitrile + sulfate + H+	EC-4.8.1	glucosinolate activation	an <i>N</i>-(sulfonatooxy)alkenimidothioic acid with a terminal double bond // an epithionitrile // sulfate // H<SUP>+</SUP>
3-carboxy-7-(methylsulfanyl)-2-oxoheptanoate + H+  ->  7-(methylsulfanyl)-2-oxoheptanoate + CO2		aliphatic glucosinolate biosynthesis, side chain elongation cycle	H<SUP>+</SUP> // 3-carboxy-7-(methylsulfanyl)-2-oxoheptanoate // 7-(methylsulfanyl)-2-oxoheptanoate // CO<SUB>2</SUB>
a beta-D-galactoside + H2O  ->  a non galactosylated galactose acceptor + D-galactopyranose	EC-3.2.1.23		H<sub>2</sub>O // a &beta;-D-galactoside // a non galactosylated galactose acceptor // D-galactopyranose
beta-D-ManNAcA-(1->4)-alpha-D-GlcNAc-PP-Und + dTDP-4-acetamido-alpha-D-fucose  =  alpha-D-Fuc4NAc-(1->4)-beta-D-ManNAcA-(1->4)-GlcNAc-PP-Und + dTDP + H+	EC-2.4.1.325		dTDP-4-acetamido-&alpha;-D-fucose // &beta;-D-ManNAcA-(1&rarr;4)-&alpha;-D-GlcNAc-PP-Und // H<SUP>+</SUP> // &alpha;-D-Fuc4NAc-(1&rarr;4)-&beta;-D-ManNAcA-(1&rarr;4)-GlcNAc-PP-Und // dTDP
linoleoyl-CoA + a glycerolipid  <-  a [glycerolipid]-linoleate + coenzyme A	EC-2.3.1.23	linoleate biosynthesis I (plants)	a glycerolipid // linoleoyl-CoA // a [glycerolipid]-linoleate // coenzyme A
gibberellin A15 (open lactone form) + 2-oxoglutarate + dioxygen  ->  gibberellin A37 + succinate + CO2	EC-1.14.11	gibberellin biosynthesis II (early C-3 hydroxylation)	dioxygen // 2-oxoglutarate // gibberellin A<sub>15</sub> (open lactone form) // gibberellin A<sub>37</sub> // succinate // CO<SUB>2</SUB>
(2E,6E)-farnesyl diphosphate  ->  (+)-valencene + diphosphate	EC-4.2.3.73	valencene and 7-epi-&alpha;-selinene biosynthesis	(2<i>E</i>,6<i>E</i>)-farnesyl diphosphate // (+)-valencene // diphosphate
(2R,3S)-2,3-dimethylmalate  =  propanoate + pyruvate	EC-4.1.3.32		(2R,3S)-2,3-dimethylmalate // propanoate // pyruvate
