Compound	SMILES
<i>aldehydo</i>-D-ribose	C(=O)[C@H](O)[C@H](O)[C@H](O)CO
cerulenin	C/C=C/C/C=C/CCC(=O)[C@@H]1(O[C@@H](C(N)=O)1)
&alpha;-D-galactose 1-phosphate	C(O)[C@H]1(O[C@H](OP(=O)([O-])[O-])[C@H](O)[C@@H](O)[C@@H](O)1)
campestanol	CC(C)[C@H](C)CC[C@@H](C)[C@H]3(CC[C@H]4([C@@H]2(CC[C@H]1(C[C@@H](O)CC[C@@](C)1[C@H]2CC[C@](C)34))))
30-hydroxy-11-oxo-&beta;-amyrin	C[C@]1([C@H](CC[C@@]2(C5([C@@](CCC12)([C@]3(C(/C4([C@@](CC3)(CC[C@@](C4)(CO)C)C))=C/C(=O)5)C)C))C)O)C
&beta;-D-glucose 6-phosphate	C([C@H]1(O[C@H]([C@@H]([C@H]([C@@H]1O)O)O)O))OP([O-])([O-])=O
1,3-dioctanoyl-1,2,3-butanetriol	CCCCCCCCC(=O)OC(C(O)OC(=O)CCCCCCC)C
23-hydroxymarneral	CC(C)=CCCC(\C)=C/CCC(\C)=C/CC[C@]1(C)([C@H](C)CCC(\[C@@H](CCC=O)1)=C(C)\CO)
CDP group	C(OP(OP(O)([O-])=O)(=O)[O-])[C@@H]2([C@H]([C@H]([C@H](N1(\C=C/C(/N)=N\C1=O))O2)O)O)
<i>aldehydo</i>-L-arabinose	C(=O)[C@H](O)[C@@H](O)[C@@H](O)CO
biotinyl-5'-adenylate	C(OP(OC(=O)CCCC[C@@H]1(SC[C@@H]2(NC(=O)N[C@H]12)))(=O)[O-])[C@H]5(O[C@@H](N3(C4(\C(\N=C/3)=C(N)/N=C\N=4)))[C@H](O)[C@H](O)5)
UDP-2-acetamido-2,6-dideoxy-&beta;-L-<i>arabino</i>-hex-4-ulose	C[C@H]3(C([C@@H]([C@H]([C@@H](OP(OP(OC[C@@H]2([C@H]([C@H]([C@H](N1(\C=C/C(=O)NC1=O))O2)O)O))(=O)[O-])(=O)[O-])O3)NC(C)=O)O)=O)
2-C-methyl-D-erythritol-2,4-cyclodiphosphate	C[C@@]1(CO)(OP(=O)([O-])OP(=O)([O-])OC[C@@H](O)1)
(3<i>S</i>)-citramalyl-CoA	CC(C)([C@@H](O)C(=O)NCCC(=O)NCCSC(=O)C[C@](C)(O)C([O-])=O)COP(=O)(OP(=O)(OC[C@H]1(O[C@H]([C@@H]([C@@H]1OP([O-])(=O)[O-])O)N2(C3(\N=C/N=C(C(\N=C/2)=3)/N))))[O-])[O-]
4-methylumbelliferyl glucoside	CC2(\C3(/C=C\C(\O[C@@H]1(O[C@H](CO)[C@@H](O)[C@H](O)[C@@H](O)1))=C/C(/OC(=O)\C=2)=3))
[dihydroxy(sulfanylidene)-&lambda;<sup>5</sup>-arsanyl]sulfanide	[As](=S)(O)([S-])O
2-[(2'-methylsulfanyl)butyl]maleate	CSCCCCC(\C(=O)[O-])=C\C([O-])=O
3-hydroxypropanoate	C(CO)C([O-])=O
putrescine	C([NH3+])CCC[NH3+]
quercetin 3,5-<i>O</i>-diglucoside	C(O)[C@@H]5(C(O)[C@H](O)C(O)C(OC4(/C=C(/C=C3(C(\C(C(/OC1(O[C@@H]([C@H]([C@@H]([C@H]1O)O)O)CO))=C(C2(\C=C(C(/O)=C\C=2)\O))\O3)=O)=4))/O))O5)
isochorismoyl-L-glutamate	C=C(C(N[C@@H](CCC([O-])=O)C(=O)[O-])=O)O[C@H]1(\C=C/C=C([C@@H]1O)/C([O-])=O)
6-<i>O</i>-methyl-&beta;-D-galacturonate	COC(=O)[C@@H]1([C@@H]([C@@H]([C@H]([C@@H](O1)O)O)O)O)
Und-PP-&beta;-D-GlcNAc-(1->4)-MurNAc-L-Ala-&gamma;-D-Glu-L-Lys-D-Ala-D-Ala	CC(C)=CCCC(\C)=C/CCC(\C)=C/CCC(/C)=C/CCC(/C)=C/CCC(/C)=C/CCC(/C)=C/CCC(/C)=C/CCC(/C)=C/CCC(/C)=C/CCC(/C)=C/COP(OP(O[C@H]2(O[C@H](CO)[C@@H](O[C@@H]1(O[C@H](CO)[C@@H](O)[C@H](O)[C@@H](NC(=O)C)1))[C@H](O[C@@H](C(=O)N[C@@H](C)C(N[C@H](CCC(=O)N[C@@H](CCCC[NH3+])C(N[C@H](C)C(=O)N[C@H](C)C(=O)[O-])=O)C(=O)[O-])=O)C)[C@@H](NC(=O)C)2))([O-])=O)(=O)[O-]
fluoride	[F-]
methyl gibberellin A<sub>34</sub>	C=C3([C@@H]2(CC[C@H]4([C@]15(C[C@@H]([C@@H]([C@@]([C@H]1[C@@H]([C@](C2)(C3)4)C(OC)=O)(C)C(O5)=O)O)O))))
2-(glutathion-<i>S</i>-yl)-2-carboxypropane	CC(C([O-])=O)CSC[C@@H](C(NCC([O-])=O)=O)NC(=O)CC[C@H]([NH3+])C([O-])=O
(3<i>E</i>)-4,8-dimethylnona-1,3,7-triene	C=C/C=C(C)/CCC=C(C)C
quercetin 3-<i>O</i>-glucosyl-(1->2)-glucoside-7-<i>O</i>-rhamnoside	C[C@@H]6(O[C@H](OC4(\C=C(C5(\C(=O)C(/O[C@@H]2(O[C@H](CO)[C@@H](O)[C@H](O)[C@@H](O[C@@H]1(O[C@H](CO)[C@@H](O)[C@H](O)[C@@H](O)1))2))=C(C3(\C=C/C(/O)=C(/C=3)/O))\OC(/C=4)=5))\O))[C@@H]([C@@H]([C@H]6O)O)O)
dihydrozeatin-7-<i>N</i>-glucose	CC(CCNC1(\C2(N(\C=N/C(\N=C/N=1)=2)[C@@H]3([C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O))))CO
1-linoleoyl-2-oleoyl-phosphatidylcholine	CCCCC\C=C/C\C=C/CCCCCCCC(OC[C@@H](OC(=O)CCCCCCC\C=C/CCCCCCCC)COP([O-])(=O)OCC[N+](C)(C)C)=O
<i>N</i>-pyruvoyl-L-glutamate	CC(=O)C(N[C@@H](CCC([O-])=O)C(=O)[O-])=O
arsenite<sup>3-</sup>	[As]([O-])([O-])[O-]
isofucosterol	C\C=C(CC[C@@H](C)[C@H]3(CC[C@H]4([C@@H]2(C\C=C1(C[C@@H](O)CC[C@@](C)1[C@H]2CC[C@](C)34)))))/C(C)C
cytidine	C(O)[C@@H]2([C@H]([C@H]([C@H](N1(\C=C/C(/N)=N\C(=O)1))O2)O)O)
(2<i>R</i>,3<i>S</i>)-3-isopropylmalate	CC(C)[C@H](C([O-])=O)[C@H](C([O-])=O)O
norspermine	C([NH2+]CCC[NH2+]CCC[NH3+])CC[NH3+]
cyclic pyranopterin phosphate	C1(OP([O-])(=O)OC2(C1O[C@@H]3([C@H](C(=O)2)NC4(\C(=O)NC(/N)=N/C(\N3)=4))))
plastoquinol-9	CC(C)=CCCC(\C)=C/CCC(\C)=C/CCC(\C)=C/CCC(\C)=C/CCC(\C)=C/CCC(\C)=C/CCC(\C)=C/CCC(\C)=C/CC1(\C(\O)=C(C)/C(\C)=C(\C=1)/O)
peroxynitrite	N(=O)O[O-]
2-methyl-1,5-dinitro-3-nitrosobenzene	CC1(/C(/N=O)=C\C(\[N+](=O)[O-])=C/C(/[N+]([O-])=O)=1)
quercetin 3-<i>O</i>-&beta;-<i>D</i>-glucosyl-(1->2)-&beta;-<i>D</i>-glucoside	C(O)[C@H]1(O[C@H]([C@H](O)[C@@H](O)[C@H](O)1)O[C@@H]2([C@@H](O)[C@H](O)[C@@H](CO)O[C@H]2OC4(\C(C5(/C(/O)=C\C(\O)=C/C(/OC(\C3(/C=C\C(\O)=C(/C=3)\O))=4)=5))=O)))
(R)-3-(3,4-dihydroxyphenyl)lactate	C([C@@H](CC1(\C=C/C(/O)=C(\C=1)/O))O)(=O)[O-]
4-maleyl-acetoacetate	C([O-])(=O)\C=C/C(=O)CC(=O)CC([O-])=O
(9Z)-octadec-9-ene-1,18-diol	C(O)CCCCCCC\C=C/CCCCCCCCO
seleno-L-homocysteine	C(C[SeH])[C@H]([NH3+])C(=O)[O-]
xanthosine	C(O)[C@H]3(O[C@@H](N1(C2(/NC(=O)NC(=O)C(\N=C/1)=2)))[C@H](O)[C@H](O)3)
1-(2-oxindole-3-acetyl)-&beta;-D-glucose	C(O)[C@H]3(O[C@@H](OC(=O)CC1(C(=O)NC2(\C=C/C=C\C1=2)))[C@H](O)[C@@H](O)[C@H](O)3)
an imino group	[C-2]=[NH2+]
2-[2-(methylsulfanyl)ethyl]-3-oxobutanedioate	CSCCC(C(=O)[O-])C(=O)C([O-])=O
monofluoromethylornithine	C(F)C(C(=O)[O-])([NH3+])CCC[NH3+]
3-dehydro-6-hydroxyteasterone	CC(C)[C@H](C)[C@@H](O)[C@H](O)[C@@H](C)[C@H]3(CC[C@H]4([C@@H]2(C[C@H](O)[C@H]1(CC(=O)CC[C@@](C)1[C@H]2CC[C@](C)34))))
