name	smiles
5,6,7,8-tetrahydrofolate	Nc1nc2c(c(=O)[nH]1)N[C@@H](CNc1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1)CN2
2-hydroxy-2-(1H-indol-3-yl)acetonitrile	N#CC(O)c1c[nH]c2ccccc12
<i>cis</i>-zeatin-9-<i>N</i>-glucoside	C/C(=C/CNc1ncnc2c1ncn2[C@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)CO
protopine	CN1CCc2cc3c(cc2C(=O)Cc2ccc4c(c2C1)OCO4)OCO3
crotonyl-CoA	C/C=C/C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O
(R)-pantoate	CC(C)(CO)[C@@H](O)C(=O)O
dUTP	O=c1ccn([C@H]2C[C@H](O)[C@@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O2)c(=O)[nH]1
dimethyl diselenide	C[Se][Se]C
chorismate	C=C(O[C@@H]1C=C(C(=O)O)C=C[C@H]1O)C(=O)O
<i>S</i>-(sulfanylmethyl)-L-cysteine	N[C@@H](CSCS)C(=O)O
(<i>R</i>)-lactate	C[C@@H](O)C(=O)O
2-carboxy-D-arabinitol 1-phosphate	O=C(O)[C@](O)(COP(=O)(O)O)[C@H](O)[C@H](O)CO
&gamma;-tocotrienol	CC(C)=CCC/C(C)=C\CC/C(C)=C\CC[C@]1(C)CCc2cc(O)c(C)c(C)c2O1
(<i>S</i>)-2-aceto-2-hydroxybutanoate	CC[C@](O)(C(C)=O)C(=O)O
dihydroxyferuloyl-sinapoyl spermidine	COc1cc(/C=C/C(=O)NCCCCN(CCCNC(=O)/C=C/c2cc(OC)c(O)c(OC)c2)C(=O)/C=C/c2cc(O)c(O)c(OC)c2)cc(O)c1O
rebaudioside B	C=C1C[C@@]23CC[C@H]4[C@@](C)(CCC[C@@]4(C)C(=O)O)[C@@H]2CC[C@]1(O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H]1O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)C3
phosphocholine	C[N+](C)(C)CCOP(=O)(O)O
(<i>Z</i>)-1-(L-cysteinylglycin-<i>S</i>-yl)-<i>N</i>-hydroxy-&omega;-(methylsulfanyl)hexan-1-imine	CSCCCCC/C(=N/O)SC[C@H](N)C(=O)NCC(=O)O
(<i>E</i>)-(4-hydroxyphenyl)acetaldehyde oxime	O/N=C/Cc1ccc(O)cc1
L-glutamine	NC(=O)CC[C@H](N)C(=O)O
superoxide	OO
4-methoxy-3-indolylmethyl glucosinolate aglycone	COc1cccc2[nH]cc(C/C(S)=N/OS(=O)(=O)O)c12
<i>N</i>-feruloyltyramine	COc1cc(/C=C/C(=O)NCCc2ccc(O)cc2)ccc1O
L-cystathionine	N[C@@H](CCSC[C@H](N)C(=O)O)C(=O)O
dCTP	Nc1ccn([C@H]2C[C@H](O)[C@@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O2)c(=O)n1
(-)-secoisolariciresinol	COc1cc(C[C@@H](CO)[C@H](CO)Cc2ccc(O)c(OC)c2)ccc1O
dihydrogeranylgeranyl chlorophyll a	C=Cc1c(C)c2n3c1C=C1C(C)=C(CC)C4=[N+]1[Mg-2]31n3c(c(C)c5c3=C(C3=[N+]1C(=C2)[C@@H](C)[C@@H]3CCC(=O)OC/C=C(\C)CCC[C@H](C)CC/C=C(\C)CCC=C(C)C)C(C(=O)OC)C5=O)=C4
<i>cis</i>-coumarinic acid-&beta;-<i>D</i>-glucoside	O=C(O)/C=C\c1ccccc1O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O
dTDP-3-<i>N,N</i>-dimethylamino-4-oxo-2,3,6-trideoxy-&alpha;-D-glucose	Cc1cn([C@H]2C[C@H](O)[C@@H](COP(=O)(O)OP(=O)(O)O[C@@H]3C[C@@H](N(C)C)C(=O)[C@@H](C)O3)O2)c(=O)[nH]c1=O
(+)-7-<i>epi</i>-jasmonoyl-L-isoleucine	CC/C=C\C[C@@H]1C(=O)CC[C@@H]1CC(=O)N[C@H](C(=O)O)[C@@H](C)CC
MoO<sub>2</sub>-molybdopterin cofactor	Nc1nc2c(c(=O)[nH]1)N[C@H]1C3=C(S[Mo](=O)(=O)S3)[C@@H](COP(=O)(O)O)O[C@H]1N2
3-demethylubiquinol-9	COc1c(O)c(O)c(C)c(C/C=C(/C)CC/C=C(/C)CC/C=C(/C)CC/C=C(/C)CC/C=C(/C)CC/C=C(/C)CC/C=C(/C)CC/C=C(/C)CCC=C(C)C)c1O
4-aminobutanoate	NCCCC(=O)O
urate	O=c1[nH]c(=O)c2[nH]c(=O)[nH]c2[nH]1
L-selenocysteine	N[C@@H](C[SeH])C(=O)O
benzyladenine-7-<i>N</i>-glucoside	OC[C@H]1O[C@H](n2cnc3ncnc(NCc4ccccc4)c32)[C@H](O)[C@@H](O)[C@@H]1O
pyridoxal	Cc1ncc(CO)c(C=O)c1O
3-carboxy-10-(methylsulfanyl)-2-oxodecanoate	CSCCCCCCCC(C(=O)O)C(=O)C(=O)O
coenzyme A	CC(C)(COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O)[C@@H](O)C(=O)NCCC(=O)NCCS
adenine	Nc1ncnc2[nH]cnc12
pyocyanin	C[n+]1c2ccccc2nc2c(O)cccc21
glucoiberin	CS(=O)CCC/C(=N/OS(=O)(=O)O)S[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O
arsenate	O=[As](O)(O)O
apigenin	O=c1cc(-c2ccc(O)cc2)oc2cc(O)cc(O)c12
uracil	O=c1cc[nH]c(=O)[nH]1
isopentenyladenine-9-<i>N</i>-glucoside	CC(C)=CCNc1ncnc2c1ncn2[C@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O
GDP-&beta;-L-fucose	C[C@@H]1O[C@H](OP(=O)(O)OP(=O)(O)OC[C@H]2O[C@@H](n3cnc4c(=O)[nH]c(N)nc43)[C@H](O)[C@@H]2O)[C@@H](O)[C@H](O)[C@@H]1O
<i>N</i>-acetyl-serotonin	CC(=O)NCCc1c[nH]c2ccc(O)cc12
(<i>S</i>)-propane-1,2-diol	C[C@H](O)CO
3-methylcrotonyl-CoA	CC(C)=CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O
3-carboxy-6-(methylsulfanyl)-2-oxohexanoate	CSCCCC(C(=O)O)C(=O)C(=O)O
(<i>S</i>)-3-hydroxybutanoyl-CoA	C[C@H](O)CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O
<i>all-trans</i>-&zeta;-carotene	CC(C)=CCC/C(C)=C\CC/C(C)=C\C=C\C(C)=C/C=C/C=C(C)/C=C/C=C(\C)CC/C=C(\C)CCC=C(C)C
(-)-&beta;-caryophyllene	C=C1CC/C=C(\C)CC[C@@H]2[C@@H]1CC2(C)C
4-amino-2,6-dinitrotoluene	Cc1c([N+](=O)[O-])cc(N)cc1[N+](=O)[O-]
triketide pyrone	CCCCCc1cc(O)cc(=O)o1
gluconapin	C=CCC/C(=N/OS(=O)(=O)O)S[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O
1D-<i>myo</i>-inositol 1-diphosphate 2,3,4,5,6-pentakisphosphate	O=P(O)(O)O[C@@H]1[C@@H](OP(=O)(O)O)[C@@H](OP(=O)(O)O)[C@@H](OP(=O)(O)OP(=O)(O)O)[C@H](OP(=O)(O)O)[C@H]1OP(=O)(O)O
dTDP-3-amino-4-dehydro-2,3,6-trideoxy-&alpha;-D-glucose	Cc1cn([C@H]2C[C@H](O)[C@@H](COP(=O)(O)OP(=O)(O)O[C@@H]3C[C@@H](N)C(=O)[C@@H](C)O3)O2)c(=O)[nH]c1=O
(<i>Z</i>)-2-(1<i>H</i>-indol-3-yl)-1-thioacetohydroximate	O/N=C(\S)Cc1c[nH]c2ccccc12
histidinal	N[C@H](C=O)Cc1c[nH]cn1
2-C22:0-DCA-LPA	O=C(O)CCCCCCCCCCCCCCCCCCCCC(=O)O[C@H](CO)COP(=O)(O)O
&beta;-D-fructofuranose 1,6-bisphosphate	O=P(O)(O)OC[C@H]1O[C@](O)(COP(=O)(O)O)[C@@H](O)[C@@H]1O
dihydrosanguinarine	CN1Cc2c(ccc3c2OCO3)-c2ccc3cc4c(cc3c21)OCO4
kaempferol-3,7-bis-<i>O</i>-&alpha;-L-rhamnoside	C[C@@H]1O[C@@H](Oc2cc(O)c3c(=O)c(O[C@@H]4O[C@@H](C)[C@H](O)[C@@H](O)[C@H]4O)c(-c4ccc(O)cc4)oc3c2)[C@H](O)[C@H](O)[C@H]1O
(S)-3-amino-2-methylpropanoate	C[C@@H](CN)C(=O)O
1-18:3-2-18:3-digalactosyldiacylglycerol	C(O)C1(OC(C(O)C(O)C1O)OC2(C(CO)OC(C(O)C2O)OC(COC([R1])=O)COC([R2])=O))
macarpine	COc1cc2c3c(OC)cc4c(c3c[n+](C)c2c2cc3c(cc12)OCO3)OCO4
benzylbenzoate	O=C(OCc1ccccc1)c1ccccc1
UDP-&alpha;-D-galacturonate	O=C(O)[C@H]1O[C@H](OP(=O)(O)OP(=O)(O)OC[C@H]2O[C@@H](n3ccc(=O)[nH]c3=O)[C@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@H]1O
1-(2-oxindole-3-acetyl)-&beta;-D-glucose	O=C(CC1C(=O)Nc2ccccc21)O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O
methyl gibberellin A<sub>9</sub>	C=C1C[C@]23C[C@H]1CC[C@H]2[C@@]12CCC[C@@](C)(C(=O)O1)[C@H]2[C@@H]3C(=O)OC
FMN	Cc1cc2nc3c(=O)[nH]c(=O)nc-3n(C[C@H](O)[C@H](O)[C@H](O)COP(=O)(O)O)c2cc1C
dihydromacarpine	COc1cc2c(c3c1-c1cc(OC)c4cc5c(cc4c1N(C)C3)OCO5)OCO2
2-dehydropantoate	CC(C)(CO)C(=O)C(=O)O
5-hydroxyferulate	COc1cc(/C=C/C(=O)O)cc(O)c1O
glutaryl-CoA	CC(C)(COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O)[C@@H](O)C(=O)NCCC(=O)NCCSC(=O)CCCC(=O)O
desulfoglucobrassicin	OC[C@H]1O[C@@H](S/C(Cc2c[nH]c3ccccc23)=N\O)[C@H](O)[C@@H](O)[C@@H]1O
&alpha;,&alpha;-trehalose 6-phosphate	O=P(O)(O)OC[C@H]1O[C@H](O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O
D-<i>myo</i>-inositol (1,2,3,6) tetrakisphosphate	O=P(O)(O)O[C@@H]1[C@H](OP(=O)(O)O)[C@H](OP(=O)(O)O)[C@@H](O)[C@H](O)[C@H]1OP(=O)(O)O
(<i>Z</i>)-1-(glutathion-<i>S</i>-yl)-<i>N</i>-hydroxy-&omega;-(methylsulfanyl)octan-1-imine	CSCCCCCCC/C(=N/O)SC[C@H](NC(=O)CC[C@H](N)C(=O)O)C(=O)NCC(=O)O
1-palmitoyl-2-vernoloyl-phosphatidylcholine	CCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)(O)OCC[N+](C)(C)C)OC(=O)CCCCCCC/C=C\CC1OC1CCCCC
UDP-&beta;-L-rhamnose	C[C@@H]1O[C@H](OP(=O)(O)OP(=O)(O)OC[C@H]2O[C@@H](n3ccc(=O)[nH]c3=O)[C@H](O)[C@@H]2O)[C@H](O)[C@H](O)[C@H]1O
1-palmitoyl-2-linoleoyl-phosphatidylcholine	CCCCC/C=C\C/C=C\CCCCCCCC(=O)O[C@H](COC(=O)CCCCCCCCCCCCCCC)COP(=O)(O)OCC[N+](C)(C)C
<i>S</i>-fenclorimyl-L-cysteine	N[C@@H](CSc1cc(Cl)nc(-c2ccccc2)n1)C(=O)O
L-selenocystathionine	N[C@@H](CC[Se]C[C@H](N)C(=O)O)C(=O)O
<i>N</i>-dimethylethanolamine	CN(C)CCO
triferuloyl spermidine	COc1cc(/C=C/C(=O)NCCCCN(CCCNC(=O)/C=C/c2ccc(O)c(OC)c2)C(=O)/C=C/c2ccc(O)c(OC)c2)ccc1O
dimethylselenopropanoate-amine	C[Se+](C)CCCN
1-(methylsulfanyl)-9-<i>aci</i>-nitrononane	CSCCCCCCCCC=[N+]([O-])O
(<i>R</i>)-<i>S</i>-lactoylglutathione	C[C@@H](O)C(=O)SC[C@H](NC(=O)CC[C@H](N)C(=O)O)C(=O)NCC(=O)O
glycolate	O=C(O)CO
<i>N<sup>5</sup></i>-acetyl-L-ornithine	CC(=O)NCCC[C@H](N)C(=O)O
(<i>Z</i>)-2-methylaminoacrylate	C/C(=C/N)C(=O)O
malonate	O=C(O)CC(=O)O
3-methylglutaconyl-CoA	C/C(=C\C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O)CC(=O)O
2-(8-hydroxy-2-oxotridecyl)-6-oxopyran-4-olate	CCCCCC(O)CCCCCC(=O)Cc1cc(O)cc(=O)o1
aurachin C	CC(C)=CCC/C(C)=C\CC/C(C)=C\Cc1c(C)n(O)c2ccccc2c1=O
4-nitroso-2,6-dinitrotoluene	Cc1c([N+](=O)[O-])cc(N=O)cc1[N+](=O)[O-]
(22<i>S</i>)-22-hydroxycampesterol	CC(C)[C@H](C)C[C@H](O)[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C
typhasterol	CC(C)[C@H](C)[C@@H](O)[C@H](O)[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC(=O)[C@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C
<i>N,N</i>-dihydroxy-L-phenylalanine	O=C(O)[C@H](Cc1ccccc1)N(O)O
shikimate 3-phosphate	O=C(O)C1=C[C@@H](OP(=O)(O)O)[C@@H](O)[C@H](O)C1
(indol-3-yl)acetyl-L-glutamine	NC(=O)CC[C@H](NC(=O)Cc1c[nH]c2ccccc12)C(=O)O
3-methyl-3-sulfanylbutan-1-ol	CC(C)(S)CCO
<i>N</i>-pyruvoyl-L-glutamate	CC(=O)C(=O)N[C@@H](CCC(=O)O)C(=O)O
acetoacetate	CC(=O)CC(=O)O
(<i>Z</i>)-&omega;-(methylsulfanyl)pentyl-thiohydroximate	CSCCCC/C(S)=N/O
chloride	Cl
