Compound	SMILES
x-HEP-1:5	
preQ<sub>1</sub>	C([NH3+])C1(\C2(\C(=O)NC(/N)=N/C(\N/C=1)=2))
x-HEP-x:x	
<i>di-trans,octa-cis</i>-undecaprenyl diphosphate	CC(C)=CCCC(\C)=C/CCC(\C)=C/CCC(/C)=C/CCC(/C)=C/CCC(/C)=C/CCC(/C)=C/CCC(/C)=C/CCC(/C)=C/CCC(/C)=C/CCC(/C)=C/COP(=O)([O-])OP(=O)([O-])[O-]
b-dgro-dgal-NON-2:6|1:a|2:keto|3:d	
a-HEP-1:5	
(1&rarr;4)-&beta;-D-galactotetraose	C(O)[C@H]4(O[C@@H](O[C@@H]3([C@H](O)[C@@H](O)[C@H](O[C@@H]2([C@H](O)[C@@H](O)[C@H](O[C@@H]1([C@H](O)[C@@H](O)C(O)O[C@H](CO)1))O[C@H](CO)2))O[C@H](CO)3))[C@H](O)[C@@H](O)[C@@H](O)4)
<i>N</i>-acetyl-<i>S</i>-benzyl-L-cysteine	CC(=O)N[C@@H](CSCC1(\C=C/C=C\C=1))C([O-])=O
x-dgro-dgal-NON-2:6|1:a|2:keto|3:d	
mono-<i>trans</i>,octa-<i>cis</i>-decaprenyl diphosphate	CC(C)=CCCC(\C)=C/CCC(/C)=C/CCC(/C)=C/CCC(/C)=C/CCC(/C)=C/CCC(/C)=C/CCC(/C)=C/CCC(/C)=C/CCC(/C)=C/COP([O-])(=O)OP([O-])(=O)[O-]
stachyose	C(O)[C@H]4(O[C@](O[C@H]3(O[C@H](CO[C@@H]2([C@@H]([C@H]([C@H]([C@@H](CO[C@@H]1([C@@H]([C@H]([C@H]([C@@H](CO)O1)O)O)O))O2)O)O)O))[C@@H](O)[C@H](O)[C@@H](O)3))(CO)[C@H]([C@@H]4O)O)
a-dgro-dgal-NON-2:6|1:a|2:keto|3:d	
&beta;-D-fructofuranose 6-phosphate	C(OP(=O)([O-])[O-])[C@H]1(O[C@@](CO)(O)[C@@H](O)[C@H](O)1)
Fe<SUP>3+</SUP>	[Fe+3]
&alpha;-D-xylulofuranose	C(O)[C@@]1(O)([C@H]([C@@H](CO1)O)O)
<i>keto</i>-L-sorbose	C(O)C(=O)[C@@H](O)[C@H](O)[C@@H](O)CO
(2<i>R</i>)-3-sulfolactate	C(=O)([O-])[C@@H](O)CS([O-])(=O)=O
Co<SUP>2+</SUP>	[Co+2]
1-kestotriose	C(O)[C@H]3(O[C@H](O[C@]2(CO[C@]1(CO)(O[C@H](CO)[C@@H](O)[C@H](O)1))(O[C@H](CO)[C@@H](O)[C@H](O)2))[C@H](O)[C@@H](O)[C@H](O)3)
sulfamate	NS([O-])(=O)=O
Mn<SUP>2+</SUP>	[Mn+2]
thiamine	CC2(\[N+](/CC1(\C(\N)=N/C(\C)=N\C=1))=C/SC(/CCO)=2)
1,1-kestotetraose	C(O)[C@H]4(O[C@H](O[C@]3(CO[C@]2(CO[C@]1(CO)(O[C@H](CO)[C@@H](O)[C@H](O)1))(O[C@H](CO)[C@@H](O)[C@H](O)2))(O[C@H](CO)[C@@H](O)[C@H](O)3))[C@H](O)[C@@H](O)[C@H](O)4)
5-(2-hydroxyethyl)-4-methylthiazole	CC1(\N=C/SC(/CCO)=1)
Cu<SUP>2+</SUP>	[Cu+2]
2-[(2<i>R</i>,5<i>Z</i>)-2-carboxy-4-methylthiazol-5(2<i>H</i>)-ylidene]ethyl phosphate	CC1(\C(\S[C@H](C(=O)[O-])\N=1)=C\COP([O-])(=O)[O-])
