Reaction	EC-Number	In-Pathway	Substrates
3-oxo-palmitoyl-[acyl-carrier protein] synthase	EC-2.3.1.179 // EC-2.3.1.41	palmitate biosynthesis II (type II fatty acid synthase)	H<SUP>+</SUP> // a malonyl-[acp] // a myristoyl-[acp] // a 3-oxohexadecanoyl-[acp] // CO<SUB>2</SUB> // a soluble [acyl-carrier protein]
phosphoenolpyruvate + D-erythrose 4-phosphate + H2O  ->  3-deoxy-D-arabino-heptulosonate 7-phosphate + phosphate	EC-2.5.1.54	3-dehydroquinate biosynthesis I	H<sub>2</sub>O // D-erythrose 4-phosphate // phospho<i>enol</i>pyruvate // 3-deoxy-D-arabino-heptulosonate 7-phosphate // phosphate
<i>trans</i> hex-2-enoyl-[acp]-reductase	EC-1.3.1.9	palmitate biosynthesis II (type II fatty acid synthase)	NAD<sup>+</sup> // a hexanoyl-[acp] // a (2<i>E</i>)-hex-2-enoyl-[acp] // NADH // H<SUP>+</SUP>
L-tyrosine + 2-oxoglutarate  <-->  L-glutamate + 3-(4-hydroxyphenyl)pyruvate	EC-2.6.1.1 // EC-2.6.1.57 // EC-2.6.1.5 // EC-2.6.1.27	L-tyrosine biosynthesis I // 3-(4-hydroxyphenyl)pyruvate biosynthesis	2-oxoglutarate // L-tyrosine // L-glutamate // 3-(4-hydroxyphenyl)pyruvate
biotin + ATP + H+  ->  biotinyl-5'-adenylate + diphosphate		a [biotin carboxyl-carrier protein]-L-lysine + biotin + ATP  ->  AMP + a [biotin carboxyl-carrier protein]-N6-biotinyl-L-lysine + diphosphate + H+	H<SUP>+</SUP> // ATP // biotin // biotinyl-5'-adenylate // diphosphate
UDP-N-acetyl-alpha-D-galactosamine + alpha-D-GalNAc-PP-Und  ->  alpha-D-GalNAc-(1->6)-alpha-D-GalNAc-diphospho-ditrans,octacis-undecaprenol + UDP + H+	EC-2.4.1	teichuronic acid biosynthesis (<i>B. subtilis</i> 168)	&alpha;-D-GalNAc-PP-Und // UDP-<i>N</i>-acetyl-&alpha;-D-galactosamine // &alpha;-D-GalNAc-(1&rarr;6)-&alpha;-D-GalNAc-diphospho-ditrans,octacis-undecaprenol // UDP // H<SUP>+</SUP>
(S)-3-hydroxydecanoyl-CoA + NAD+  =  3-oxodecanoyl-CoA + NADH + H+	EC-1.1.1.35		NAD<sup>+</sup> // (<i>S</i>)-3-hydroxydecanoyl-CoA // 3-oxodecanoyl-CoA // NADH // H<SUP>+</SUP>
ATP + a 1,2-diacyl-sn-glycerol  ->  a phosphatidate + ADP + H+	EC-2.7.1.107	type I lipoteichoic acid biosynthesis (<i>S. aureus</i>)	a 1,2-diacyl-<i>sn</i>-glycerol // ATP // H<SUP>+</SUP> // a phosphatidate // ADP
urate + dioxygen + H2O  ->  (S)-5-hydroxyisourate + hydrogen peroxide	EC-1.7.3.3	urate conversion to allantoin I	H<sub>2</sub>O // dioxygen // urate // (<i>S</i>)-5-hydroxyisourate // hydrogen peroxide
glutathione  ->  L-cysteinylglycine + 5-oxo-L-proline	EC-4.3.2.7	5-oxo-L-proline metabolism	glutathione // L-cysteinylglycine // 5-oxo-L-proline
