name	smiles
2-oxobutanoate	CCC(=O)C(=O)O
1,6-kestotetraose	OC[C@H]1O[C@@](CO)(OC[C@H]2O[C@@](CO[C@]3(CO)O[C@H](CO)[C@@H](O)[C@@H]3O)(O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)[C@@H](O)[C@@H]2O)[C@@H](O)[C@@H]1O
(7<i>R</i>,8<i>S</i>)-8-amino-7-(carboxyamino)nonanoate	C[C@H](N)[C@@H](CCCCCC(=O)O)NC(=O)O
<i>sn</i>-glycerol 3-phosphate	O=P(O)(O)OC[C@H](O)CO
2-hydroxy-5-(methylsulfanyl)-3-oxopent-1-enyl 1-phosphate	CSCCC(=O)/C(O)=C/OP(=O)(O)O
5,6-dimethylbenzimidazole	Cc1cc2nc[nH]c2cc1C
uroporphyrinogen-III	O=C(O)CCc1c2[nH]c(c1CC(=O)O)Cc1[nH]c(c(CC(=O)O)c1CCC(=O)O)Cc1[nH]c(c(CC(=O)O)c1CCC(=O)O)Cc1[nH]c(c(CCC(=O)O)c1CC(=O)O)C2
diphosphate	O=P(O)(O)OP(=O)(O)O
thiamine	Cc1ncc(C[n+]2csc(CCO)c2C)c(N)n1
&beta;-D-galactopyranosyl-(1&rarr;3)-D-galactopyranose	OC[C@H]1O[C@@H](O[C@H]2[C@@H](O)[C@@H](CO)OC(O)[C@@H]2O)[C@H](O)[C@@H](O)[C@H]1O
2-oxoglutarate	O=C(O)CCC(=O)C(=O)O
<i>keto</i>-D-fructose	O=C(CO)[C@@H](O)[C@H](O)[C@H](O)CO
2-(methylsulfanyl)-<i>N</i><sup>6</sup>-prenyladenosine<sup>37</sup> in tRNA	CC(C)=CCNC1(\C2(\N=C/N(C(/N=C(/N=1)/SC)=2)[C@@H]3(O[C@H](COP(=O)([O-])O[a tRNA])[C@@H](OP(=O)(O[a tRNA])[O-])[C@@H](O)3)))
6-phospho D-glucono-1,5-lactone	O=C1O[C@H](COP(=O)(O)O)[C@@H](O)[C@H](O)[C@H]1O
crotonyl-CoA	C/C=C/C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O
2-(2-carboxy-4-methylthiazol-5-yl)ethyl phosphate	Cc1nc(C(=O)O)sc1CCOP(=O)(O)O
(L-threonyl)adenylate	C[C@@H](O)[C@H](N)C(=O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O
(R)-pantoate	CC(C)(CO)[C@@H](O)C(=O)O
dUTP	O=c1ccn([C@H]2C[C@H](O)[C@@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O2)c(=O)[nH]1
5-dehydro-4-deoxy-D-glucuronate	O=C[C@H](O)[C@@H](O)CC(=O)C(=O)O
chorismate	C=C(O[C@@H]1C=C(C(=O)O)C=C[C@H]1O)C(=O)O
4,5-secobiotin	O=C(O)CCCCCC1NC(=O)NC1CS
butanoyl phosphate	CCCC(=O)OP(=O)(O)O
3-[(2S,5R)-5-hydroxy-7-oxabicyclo[4.1.0]heptan-2-yl]-2-oxopropanoate	O=C(O)C(=O)C[C@@H]1CC[C@@H](O)[C@@H]2O[C@H]12
(<i>R</i>)-lactate	C[C@@H](O)C(=O)O
&beta;-D-fructofuranose 6-phosphate	O=P(O)(O)OC[C@H]1O[C@](O)(CO)[C@@H](O)[C@@H]1O
benzaldehyde	O=Cc1ccccc1
1,4-dihydroxy-2-naphthoate	O=C(O)c1cc(O)c2ccccc2c1O
UDP-<i>N</i>-acetyl-&alpha;-D-glucosamine	CC(=O)N[C@H]1[C@@H](OP(=O)(O)OP(=O)(O)OC[C@H]2O[C@@H](n3ccc(=O)[nH]c3=O)[C@H](O)[C@@H]2O)O[C@H](CO)[C@@H](O)[C@@H]1O
