Compound	SMILES
6-carboxy-5,6,7,8-tetrahydropterin	C1(NC2(/N=C(N)\NC(=O)C(/NC1C(=O)[O-])=2))
7,8-dihydro-8-oxoguanine	C12(NC(=O)NC(\C(=O)NC(/N)=N/1)=2)
(2R)-3-sulfolactaldehyde	C(=O)[C@@H](O)CS(=O)(=O)[O-]
dTDP group	CC1(\C(=O)NC(=O)N(\C=1)[C@H]2(C[C@H](O)[C@@H](COP(=O)([O-])OP(=O)([O-])O)O2))
guanosine 5'-monophosphomorpholidate	C1(COCCN1P([O-])(=O)OC[C@H]4(O[C@@H](N2(C3(\N=C(N)/NC(=O)C(\N=C/2)=3)))[C@H](O)[C@H](O)4))
<i>N</i><sup>1</sup>-methyladenine	CN2(\C=N/C1(\C(\N=C/N=1)=C(N)/2))
ammonium sulfate	
(glutathion-<i>S</i>-yl)-bimane	CC2(\C(N1(N(C(/CSC[C@@H](C(NCC([O-])=O)=O)NC(=O)CC[C@H]([NH3+])C([O-])=O)=C(C)/C(=O)1)C(/C)=2))=O)
a-dgal-HEX-1:5|6:a	
&alpha;-D-Gal-(1&rarr;4)-&beta;-D-GlcA-(1&rarr;3)-2-<i>O</i>-Ac-&alpha;-D-Gal-(1&rarr;3)-&alpha;-L-Fuc-(1&rarr;4)-3-O-Ac-&alpha;-L-Fuc-(1&rarr;3)-&alpha;-D-Glc-PP-Und	CC(C)=CCCC(\C)=C/CCC(\C)=C/CCC(/C)=C/CCC(/C)=C/CCC(/C)=C/CCC(/C)=C/CCC(/C)=C/CCC(/C)=C/CCC(/C)=C/CCC(/C)=C/COP(=O)([O-])OP(O[C@H]6(O[C@H](CO)[C@@H](O)[C@H](O[C@@H]5(O[C@@H](C)[C@@H](O[C@@H]1(O[C@H]([C@H]([C@H]([C@@H]1O)O[C@H]4(O[C@H](CO)[C@H](O)[C@H](O[C@@H]3(O[C@H](C(=O)[O-])[C@@H](O[C@H]2(O[C@@H]([C@H](O)[C@H](O)[C@@H](O)2)CO))[C@H](O)[C@@H](O)3))[C@@H](OC(=O)C)4))O)C))[C@@H](OC(=O)C)[C@H](O)5))[C@@H](O)6))([O-])=O
azaguanine	C1(=O)(C2(\N=N/NC(/NC(N1)=N)=2))
<i>N</i>3-(4-methoxyfumaroyl)-L-2,3-diaminopropanoate	C(=O)(NC[C@@H](C(=O)[O-])[NH3+])/C=C/C(=O)OC
3-methylguanine	CN1(C(/N)=N/C(=O)C2(/N=C\NC\1=2))
bacitracin A	CC[C@H](C)[C@H]([NH3+])C1(\SC[C@H](\N=1)C(=O)N[C@@H](CC(C)C)C(=O)N[C@H](CCC(=O)[O-])C(=O)N[C@@H]([C@H](CC)C)C(=O)N[C@@H]4(CCCCNC([C@@H](NC([C@H](NC(=O)[C@H](CC2(\N=C/N\C=2))NC(=O)[C@@H](CC3(\C=C/C=C\C=3))NC(=O)[C@H]([C@H](CC)C)NC([C@@H](CCC[NH3+])NC(=O)4)=O)CC([O-])=O)=O)CC(=O)N)=O))
5,6,7,8-tetrahydromonapterin	C1(NC2(/N=C(N)\NC(=O)C(/NC1[C@H](O)[C@@H](O)CO)=2))
5,6-dihydroxycytosine	C1(O)(NC(=O)/N=C(C(\O)=1)/N)
dodecyl sulfate	CCCCCCCCCCCCOS([O-])(=O)=O
AMP group	C(OP(=O)([O-])O)[C@H]3(O[C@@H](N1(C2(\C(\N=C/1)=C(N)/N=C\N=2)))[C@H](O)[C@H](O)3)
adenosine 5'-phosphoramidate	C(OP(N)([O-])=O)[C@H]3(O[C@@H](N1(C2(\C(\N=C/1)=C(N)/N=C\N=2)))[C@H](O)[C@H](O)3)
&beta;-L-fucopyranose	C[C@@H]1(O[C@@H]([C@H]([C@@H]([C@@H]1O)O)O)O)
tetrahydropteroyl tri-L-glutamate	C([C@@H]1(NC2(\C(NC(/N)=N/C(\NC1)=2)=O)))NC3(\C=C/C(/C(N[C@H](C(=O)[O-])CCC(N[C@H](C(=O)[O-])CCC(N[C@H](C(=O)[O-])CCC([O-])=O)=O)=O)=O)=C\C=3)
ammonium dihydrogen phosphate	
<i>S</i>-(hydroxymethyl)glutathione	C(NC(=O)[C@H](CSCO)NC(=O)CC[C@H]([NH3+])C(=O)[O-])C(=O)[O-]
x-lgal-HEX-1:5	
5-hydroxycytosine	C1(/NC(=O)/N=C(C(/O)=1)/N)
<i>S</i>-adenosyl-L-methionine	C[S+](C[C@H]3(O[C@@H](N1(C2(\C(\N=C/1)=C(N)/N=C\N=2)))[C@H](O)[C@H](O)3))CC[C@@H](C(=O)[O-])[NH3+]
&alpha;-L-fucopyranose	C[C@@H]1(O[C@H]([C@H]([C@@H]([C@@H]1O)O)O)O)
darobactin	C(N)CC[C@H]3(C6(\C=C/C7(/C(/[C@H]1(OC4(\C5(\N\C=C(C[C@H](N)C(N[C@@H](CC(=O)N)C(=O)NC1C(=O)N[C@@H](CO)C(=O)N[C@H](C(=O)N[C@@H](CO)C(=O)N[C@@H](CC2(\C=C/C=C\C=2))C(=O)O)3)=O)/C(\C=C/C=4)=5))))=C\NC(/C=6)=7)))
(6<i>R</i>)-6-pyruvoyl-5,6,7,8-tetrahydropterin	CC(=O)C(=O)[C@H]1(CNC2(/N=C(N)\NC(=O)C(/N1)=2))
phosphonocytosine	C1(=O)(N\C=C/P([O-])(=O)N1)
L-alanosine	C(=O)([O-])[C@@H]([NH3+])CN(N=O)O
GDP group	C(OP(=O)([O-])OP(=O)([O-])O)[C@H]3(O[C@@H](N1(C2(\N=C(N)/NC(=O)C(\N=C/1)=2)))[C@H](O)[C@H](O)3)
iron dichloride	Cl[Fe]Cl
<i>S</i>-formylglutathione	C(NC(=O)[C@H](CSC=O)NC(=O)CC[C@H]([NH3+])C(=O)[O-])C(=O)[O-]
o-dgal-HEX-0:0|1:aldi	
&alpha;-D-Fuc4NAc-(1&rarr;4)-&beta;-D-ManNAcA-(1&rarr;4)-GlcNAc-PP-Und	CC(C)=CCCC(\C)=C/CCC(\C)=C/CCC(/C)=C/CCC(/C)=C/CCC(/C)=C/CCC(/C)=C/CCC(/C)=C/CCC(/C)=C/CCC(/C)=C/CCC(/C)=C/COP(=O)([O-])OP(=O)([O-])O[C@H]3(O[C@H](CO)[C@@H](O[C@@H]2(O[C@H](C(=O)[O-])[C@@H](O[C@H]1(O[C@H](C)[C@H](NC(C)=O)[C@H](O)[C@@H](O)1))[C@H](O)[C@H](NC(C)=O)2))[C@H](O)[C@@H](NC(C)=O)3)
thymine glycol	CC1(O)(C(O)NC(=O)NC(=O)1)
<i>O</i>-acetyl-L-homoserine	CC(OCC[C@@H](C([O-])=O)[NH3+])=O
enduracidin	CC(C)CCCC/C=C/C=C\C(=O)NC%10(C(C9(OC(C(C1(\C=C/C(/O)=C\C=1))NC(C(NC(C(CC2(NC([NH3+])NC2))NC(CNC(C(C3(\C=C(C(\O)=C(/C=3)\Cl)\Cl))NC(C(CO)NC(C(C4(\C=C(C(/O)=C\C=4)\Cl))NC(C(CC5(NC(NC5)=N))NC(C(CCCNC(N)=O)NC(C(C(C)O)NC(C(C6(\C=C/C(/O)=C\C=6))NC(C(C7(\C=C/C(/O)=C\C=7))NC(C(C(C)O)NC(=O)C(NC(C(C8(\C=C/C(/O)=C\C=8))NC(C9NC%10=O)=O)=O)CCCN)=O)=O)=O)=O)=O)=O)=O)=O)=O)=O)=O)C)=O)=O))C([O-])=O)
(<i>S</i>)-4-amino-4,5-dihydro-2-thiophenecarboxylate	C1(SC(/C(=O)[O-])=C/[C@H]([NH3+])1)
3,N<sup>4</sup>-ethenocytosine	C2(\N=C1(\C=C/NC(=O)N1\C=2))
2-14:0-lysophosphatidylglycerol	CCCCCCCCCCCCCC(=O)O[C@H](CO)COP(OC[C@H](CO)O)([O-])=O
