Reaction	EC-Number	In-Pathway	Substrates
2 S-adenosyl-L-methionine + an adenine in rRNA  ->  an N6,N6-dimethyladenine in rRNA + 2 S-adenosyl-L-homocysteine + 2 H+	EC-2.1.1		an adenine in rRNA // <i>S</i>-adenosyl-L-methionine // an <i>N</i><sup>6</sup>,<i>N</i><sup>6</sup>-dimethyladenine in rRNA // <i>S</i>-adenosyl-L-homocysteine // H<SUP>+</SUP>
a 5-carboxymethylaminomethyl-2-thiouridine34 in tRNA + FAD + H2O + 2 H+  ->  a 5-(aminomethyl)-2-thiouridine34 in tRNA + glyoxylate + FADH2		tRNA-uridine 2-thiolation and selenation (bacteria)	H<SUP>+</SUP> // FAD // H<sub>2</sub>O // a 5-carboxymethylaminomethyl-2-thiouridine<sup>34</sup> in tRNA // a 5-(aminomethyl)-2-thiouridine<sup>34</sup> in tRNA // glyoxylate // FADH<SUB>2</SUB>
an Nomega-(1-hydroxy-2-oxopropyl)-[protein]-L-arginine + H2O  ->  a [protein]-L-arginine + (R)-lactate + H+	EC-3.5.1.124		H<sub>2</sub>O // an <i>N</i><sup>&omega;</sup>-(1-hydroxy-2-oxopropyl)-[protein]-L-arginine // a [protein]-L-arginine // (<i>R</i>)-lactate // H<SUP>+</SUP>
sn-glycerol 3-phosphate:ubiquinone oxidoreductase	EC-1.1.5.3	<i>sn</i>-glycerol 3-phosphate anaerobic respiration // glycerol-3-phosphate to cytochrome <i>bo</i> oxidase electron transfer // glycerophosphodiester degradation // glycerol degradation I	<i>sn</i>-glycerol 3-phosphate // a ubiquinone // a ubiquinol // glycerone phosphate
N4-acetylcytidine + H2O  ->  cytidine + acetate + H+	EC-3.5.1.135		H<sub>2</sub>O // <i>N</i><sup>4</sup>-acetylcytidine // cytidine // acetate // H<SUP>+</SUP>
glutarate + 2-oxoglutarate + dioxygen  ->  (S)-2-hydroxyglutarate + succinate + CO2	EC-1.14.11.64	L-lysine degradation I	dioxygen // 2-oxoglutarate // glutarate // (<i>S</i>)-2-hydroxyglutarate // succinate // CO<SUB>2</SUB>
a [PTS enzyme I]-Npi-phospho-L-histidine + an [HPr]-L-histidine  ->  a [PTS enzyme I]-L-histidine + an [HPr protein]-Npi-phospho-L-histidine		phosphoenolpyruvate + an [HPr]-L-histidine  ->  pyruvate + an [HPr protein]-Npi-phospho-L-histidine	an [HPr]-L-histidine // a [PTS enzyme I]-<i>N<sup>&pi;</sup></i>-phospho-L-histidine // a [PTS enzyme I]-L-histidine // an [HPr protein]-<i>N<sup>&pi;</sup></i>-phospho-L-histidine
GlcNAc-1,6-anhMurNAc-L-Ala-gamma-D-Glu-meso-DAP-D-Ala + H2O  ->  N-acetyl-beta-D-glucosamine-1,6-anhydro-N-acetyl-beta-D-muramate + L-alanyl-gamma-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanine	EC-3.5.1.28	peptidoglycan recycling I	H<sub>2</sub>O // GlcNAc-1,6-anhMurNAc-L-Ala-&gamma;-D-Glu-<i>meso</i>-DAP-D-Ala // <i>N</i>-acetyl-&beta;-D-glucosamine-1,6-anhydro-<i>N</i>-acetyl-&beta;-D-muramate // L-alanyl-&gamma;-D-glutamyl-<i>meso</i>-2,6-diaminopimeloyl-D-alanine
a nascent peptidoglycan with (L-alanyl-gamma-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanine) tetrapeptide[periplasm] + a peptidoglycan internal segment with (L-alanyl-gamma-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanine) tetrapeptide[periplasm]  ->  a nascent peptidoglycan with L,D cross links (meso-diaminopimelate containing)[periplasm] + D-alanine[periplasm]		peptidoglycan maturation (<i>meso</i>-diaminopimelate containing)	a peptidoglycan internal segment with (L-alanyl-&gamma;-D-glutamyl-<I>meso</I>-2,6-diaminopimeloyl-D-alanine) tetrapeptide // a nascent peptidoglycan with (L-alanyl-&gamma;-D-glutamyl-<I>meso</I>-2,6-diaminopimeloyl-D-alanine) tetrapeptide // a nascent peptidoglycan with L,D cross links (<i>meso</i>-diaminopimelate containing) // D-alanine
(S)-3-hydroxydodecanoyl-CoA + NAD+  ->  3-oxododecanoyl-CoA + NADH + H+	EC-1.1.1.35 // EC-1.1.1.211	oleate &beta;-oxidation	NAD<sup>+</sup> // (S)-3-hydroxydodecanoyl-CoA // 3-oxododecanoyl-CoA // NADH // H<SUP>+</SUP>
