Reaction	EC-Number	In-Pathway	Substrates
an N-acylsphingosine + a phosphatidylcholine  ->  an N-acyl-sphingosylphosphorylcholine + a 1,2-diacyl-sn-glycerol	EC-2.7.8.27	sphingomyelin metabolism	a phosphatidylcholine // an <i>N</i>-acylsphingosine // an <i>N</i>-acyl-sphingosylphosphorylcholine // a 1,2-diacyl-<i>sn</i>-glycerol
alpha-D-ribofuranose + ATP  =  alpha-D-ribose 5-phosphate + ADP + H+	EC-2.7.1.15		ATP // &alpha;-D-ribofuranose // &alpha;-D-ribose 5-phosphate // ADP // H<SUP>+</SUP>
a lipopolysaccharide + UDP-N-acetyl-alpha-D-glucosamine  ->  a N-acetyl-alpha-D-glucosaminyl-lipopolysaccharide + UDP	EC-2.4.1.56		UDP-<i>N</i>-acetyl-&alpha;-D-glucosamine // a lipopolysaccharide // a <i>N</i>-acetyl-&alpha;-D-glucosaminyl-lipopolysaccharide // UDP
carboxyphosphate + ammonium  ->  carbamate + phosphate + 2 H+		2 ATP + hydrogen carbonate + ammonium  ->  2 ADP + carbamoyl phosphate + phosphate + 2 H+	ammonium // carboxyphosphate // carbamate // phosphate // H<SUP>+</SUP>
sarcosine + H2O + oxygen  ->  glyoxylate + methylamine + hydrogen peroxide	EC-1.4.3.19		oxygen // H<sub>2</sub>O // sarcosine // glyoxylate // methylamine // hydrogen peroxide
acetyl-CoA + propanoyl-CoA  =  beta-ketovaleryl-CoA + coenzyme A	EC-2.3.1.9		propanoyl-CoA // acetyl-CoA // &beta;-ketovaleryl-CoA // coenzyme A
CTP + H2O  ->  CMP + diphosphate + H+	EC-3.6.1.65		H<sub>2</sub>O // CTP // H<SUP>+</SUP> // CMP // diphosphate
D-ribulose 5-phosphate  <-->  D-xylulose 5-phosphate	EC-5.1.3.1	Rubisco shunt // pentose phosphate pathway (non-oxidative branch) // Calvin-Benson-Bassham cycle	D-ribulose 5-phosphate // D-xylulose 5-phosphate
S-adenosyl-L-methionine + demethylmenaquinol-11  ->  S-adenosyl-L-homocysteine + menaquinol-11 + H+	EC-2.1.1.163		demethylmenaquinol-11 // <i>S</i>-adenosyl-L-methionine // menaquinol-<i>11</i> // <i>S</i>-adenosyl-L-homocysteine // H<SUP>+</SUP>
1D-myo-inositol 3-diphosphate 1,2,4,5,6-pentakisphosphate + ATP  ->  3,5-bisdiphosphoinositol-1D-myo-inositol 2,3,4,6-tetrakisphosphate + ADP + H+	EC-2.7.4.24	inositol pyrophosphates biosynthesis	ATP // 1D-<i>myo</i>-inositol 3-diphosphate 1,2,4,5,6-pentakisphosphate // 3,5-bisdiphosphoinositol-1D-<i>myo</i>-inositol 2,3,4,6-tetrakisphosphate // ADP // H<SUP>+</SUP>
L-homoserine  ->  2-oxobutanoate + ammonium	EC-4.4.1.1		L-homoserine // 2-oxobutanoate // ammonium
beta-D-galactose  ->  alpha-D-galactose	EC-5.1.3.3	D-galactose degradation V (Leloir pathway) // D-galactose degradation I (Leloir pathway)	&beta;-D-galactose // &alpha;-D-galactose
(4Z,7Z,10Z,13Z,16Z)-docosapentaenoyl-CoA + acetyl-CoA  <-  3-oxo-(6Z,9Z,12Z,15Z,18Z)-tetracosapentaenoyl-CoA + coenzyme A	EC-2.3.1.16		acetyl-CoA // (4Z,7Z,10Z,13Z,16Z)-docosapentaenoyl-CoA // 3-oxo-(6Z,9Z,12Z,15Z,18Z)-tetracosapentaenoyl-CoA // coenzyme A
fatty aldehyde dehydrogenase	EC-1.2.1.3		H<sub>2</sub>O // NAD<sup>+</sup> // an odd numbered straight chain 2,3,4-saturated fatty aldehyde // an odd numbered straight chain 2,3,4-saturated fatty acid // NADH // H<SUP>+</SUP>
ammonium + CO2 + ATP  <-->  carbamoyl phosphate + ADP + 2 H+	EC-2.7.2.2	L-citrulline degradation	ATP // CO<SUB>2</SUB> // ammonium // H<SUP>+</SUP> // carbamoyl phosphate // ADP
4-methyl-2-oxopentanoate dehydrogenase (lipoamide)	EC-1.2.4.4	4-methyl-2-oxopentanoate dehydrogenase (acylating)	H<SUP>+</SUP> // a [BCAA dehydrogenase E2 protein] <i>N<sup>6</sup></i>-lipoyl-L-lysine // 4-methyl-2-oxopentanoate // a [<i>apo</i> BCAA dehydrogenase E2 protein] <i>N<sup>6</sup></i>-<i>S</i>-[3-methylbutanoyl]dihydrolipoyl-L-lysine // CO<SUB>2</SUB>
