Compound	SMILES
(<i>S</i>)-3-hydroxydecanoyl-CoA	CCCCCCC[C@@H](CC(SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(OP(=O)(OC[C@H]1(O[C@H]([C@@H]([C@@H]1OP([O-])(=O)[O-])O)N2(C3(\N=C/N=C(C(\N=C/2)=3)/N))))[O-])[O-])=O)O
OPC6-trans-2-enoyl-CoA	CC\C=C/CC4(C(=O)CCC(CCC/C=C/C(SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(OP(=O)(OC[C@@H]1([C@@H](OP([O-])(=O)[O-])[C@@H](O)[C@@H](O1)N2(C3(\N=C/N=C(C(\N=C/2)=3)/N))))[O-])[O-])=O)4)
3-deoxy-&beta;-D-<i>manno</i>-2-octulosonate	C(O)[C@@H](O)[C@H]1(O[C@](O)(C([O-])=O)C[C@H]([C@H]1O)O)
magnesium-protoporphyrin IX 13-monomethyl ester	C=CC3(\C(/C)=C4(\C=C6(C(/C)=C(CCC(=O)[O-])/C(\C=C5(C(/CCC(=O)OC)=C(C)/C1(/N([Mg]N(C(/C=C2(C(/C)=C(C=C)/C(\C=1)=N2))=3)4)5)))=N6)))
16-hydroxypalmitate	C(CCCCCCCCCCCCCCC([O-])=O)O
&alpha;-carotene	CC(/C=C/C=C(C)/C=C/C1(C(/C)=C/CC[C@@]1(C)C))=C\C=C\C=C(C)\C=C\C=C(C)\C=C\C2(\[C@@](CCCC(/C)=2)(C)C)
D-arabinono-1,4-lactone	C(O)[C@H]1(OC(=O)[C@@H](O)[C@H](O)1)
<i>cis</i>-dienelactone	C1(\C(\OC(=O)\C=1)=C\C(=O)[O-])
1-cis-vaccenoyl-2-palmitoleoyl phosphatidate	CCCCCC/C=C/CCCCCCCCCC(OC[C@@H](OC(=O)CCCCCCC/C=C/CCCCCC)COP([O-])(=O)[O-])=O
D-arabinofuranose 5-phosphate	C(OP([O-])(=O)[O-])[C@@H]1([C@@H](O)[C@H](O)C(O)O1)
L-selenocysteine	C([SeH])[C@H]([NH3+])C([O-])=O
hypoglycin A	C=C1(C(CC([NH3+])C([O-])=O)C1)
xanthine	C12(NC(=O)NC(C(\N=C/N1)=2)=O)
imidazole acetol-phosphate	C1(\N\C=N/C(\CC(COP([O-])(=O)[O-])=O)=1)
dTDP-4-dehydro-&beta;-L-rhamnose	CC1(\C(=O)NC(=O)N(\C=1)[C@H]3(C[C@H](O)[C@@H](COP(=O)([O-])OP(=O)([O-])O[C@H]2(O[C@@H](C)C(=O)[C@@H](O)[C@@H](O)2))O3))
arsenite	[As](O)([O-])O
2-methoxy-6-<i>all trans</i>-decaprenyl-2-methoxy-1,4-benzoquinol	CC(C)=CCCC(\C)=C/CCC(\C)=C/CCC(\C)=C/CCC(\C)=C/CCC(\C)=C/CCC(\C)=C/CCC(\C)=C/CCC(\C)=C/CCC(\C)=C/CC1(\C(\O)=C(/C=C(\C=1)/O)\OC)
cobalt-precorrin-2	C[C@]1(C2(\N6(C(/[C@@H](CCC(=O)[O-])1)=C/C8(/N5(C(/CC7(\N4(C(/C=C3([C@]([C@@H](C(\C=2)=[N+]3[Co-2]456)CCC([O-])=O)(CC(=O)[O-])C))=C(CC(=O)[O-])/C(\CCC(=O)[O-])=7)))=C(CCC(=O)[O-])/C(\CC([O-])=O)=8)))))CC(=O)[O-]
xanthosine	C(O)[C@H]1(O[C@H]([C@H](O)[C@H](O)1)N2(\C=N/C3(\C(=O)NC(=O)NC/2=3)))
<i>N</i>-acetyl-&alpha;-D-glucosamine 1-phosphate	CC(=O)N[C@@H]1([C@@H](O)[C@H](O)[C@@H](CO)O[C@H](OP(=O)([O-])[O-])1)
dopaquinone	C([O-])(=O)[C@@H]([NH3+])CC1(\C=C/C(=O)C(\C=1)=O)
L-2-aminoadipate	C([O-])(=O)CCC[C@@H](C(=O)[O-])[NH3+]
(9Z,12Z,15Z,18Z,21Z)-tetracosapentaenoyl-CoA	CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CCCCCCCC(SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(OP(=O)(OC[C@@H]1([C@@H](OP([O-])(=O)[O-])[C@@H](O)[C@@H](O1)N2(C3(\N=C/N=C(C(\N=C/2)=3)/N))))[O-])[O-])=O
XLXG xyloglucan oligosaccharide	C8(C([C@@H](C(C(OC[C@H]7(O[C@@H](O[C@H]3([C@H](O)[C@@H](O)[C@@H](O[C@H](COC1(C([C@H](C(CO1)O)O)O[C@H]2([C@@H]([C@H]([C@H]([C@H](O2)CO)O)O)O)))3)O[C@H]5([C@H](O)[C@@H](O)[C@@H](O[C@H](COC4(C([C@H](C(CO4)O)O)O))5)O[C@H]6([C@H](O)[C@@H](O)[C@H](O)O[C@H](CO)6))))[C@H](O)[C@@H](O)[C@H](O)7))O8)O)O)O)
linoleate-group	CCCCC\C=C/C\C=C/CCCCCCCC=O
(<i>S</i>)-3-hydroxyhexanoyl-CoA	CCC[C@@H](CC(SCCNC(CCNC(C(C(COP(=O)([O-])OP(OC[C@H]1(O[C@H]([C@@H]([C@@H]1OP([O-])([O-])=O)O)N2(\C=N/C3(C(/N)=N\C=N/C2=3))))([O-])=O)(C)C)O)=O)=O)=O)O
L-glyceraldehyde	C(=O)[C@H](CO)O
all-<i>trans</i>-dodecaprenyl diphosphate	CC(C)=CCCC(\C)=C/CCC(\C)=C/CCC(\C)=C/CCC(\C)=C/CCC(\C)=C/CCC(\C)=C/CCC(\C)=C/CCC(\C)=C/CCC(\C)=C/CCC(\C)=C/CCC(\C)=C/COP(OP(=O)([O-])[O-])([O-])=O
dTTP	CC1(\C(=O)NC(=O)N(\C=1)[C@H]2(C[C@H](O)[C@@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])O2))
(2E,5Z)-dodecenoyl-CoA	CCCCCC\C=C/C/C=C/C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(OP(=O)(OC[C@@H]1([C@@H](OP([O-])(=O)[O-])[C@@H](O)[C@@H](O1)N2(C3(\N=C/N=C(C(\N=C/2)=3)/N))))[O-])[O-]
