name	smiles
2-oxobutanoate	CCC(=O)C(=O)O
<i>sn</i>-glycerol 3-phosphate	O=P(O)(O)OC[C@H](O)CO
uroporphyrinogen-III	O=C(O)CCc1c2[nH]c(c1CC(=O)O)Cc1[nH]c(c(CC(=O)O)c1CCC(=O)O)Cc1[nH]c(c(CC(=O)O)c1CCC(=O)O)Cc1[nH]c(c(CCC(=O)O)c1CC(=O)O)C2
diphosphate	O=P(O)(O)OP(=O)(O)O
&gamma;-L-glutamyl-L-cysteine	N[C@@H](CCC(=O)N[C@@H](CS)C(=O)O)C(=O)O
2-oxoglutarate	O=C(O)CCC(=O)C(=O)O
6-phospho D-glucono-1,5-lactone	O=C1O[C@H](COP(=O)(O)O)[C@@H](O)[C@H](O)[C@H]1O
crotonyl-CoA	C/C=C/C(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O
(R)-pantoate	CC(C)(CO)[C@@H](O)C(=O)O
dUTP	O=c1ccn([C@H]2C[C@H](O)[C@@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O2)c(=O)[nH]1
(R)-mevalonate diphosphate	C[C@@](O)(CCOP(=O)(O)OP(=O)(O)O)CC(=O)O
chorismate	C=C(O[C@@H]1C=C(C(=O)O)C=C[C@H]1O)C(=O)O
1-oleyl-2-lyso-phosphatidate	CCCCCCCC/C=C\CCCCCCCC(=O)OC[C@@H](O)COP(=O)(O)O
&beta;-D-fructofuranose 6-phosphate	O=P(O)(O)OC[C@H]1O[C@](O)(CO)[C@@H](O)[C@@H]1O
D-<i>erythro</i>-sphinganine	CCCCCCCCCCCCCCC[C@@H](O)[C@@H](N)CO
1-oleoyl-2-lyso-glycerone phosphate	CCCCCCCC/C=C\CCCCCCCC(=O)OCC(=O)COP(=O)(O)O
UDP-<i>N</i>-acetyl-&alpha;-D-glucosamine	CC(=O)N[C@H]1[C@@H](OP(=O)(O)OP(=O)(O)OC[C@H]2O[C@@H](n3ccc(=O)[nH]c3=O)[C@H](O)[C@@H]2O)O[C@H](CO)[C@@H](O)[C@@H]1O
citrate	O=C(O)CC(O)(CC(=O)O)C(=O)O
(<i>S</i>)-2-aceto-2-hydroxybutanoate	CC[C@](O)(C(C)=O)C(=O)O
(2E,6Z,9Z,12Z,15Z,18Z,21Z)-tetracosaheptaenoyl-CoA	CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC/C=C/C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O
acetoacetyl-CoA	CC(=O)CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O
