Reaction	EC-Number	In-Pathway	Substrates
ATP + molybdopterin + H+  ->  molybdopterin adenine dinucleotide + diphosphate	EC-2.7.7.75	molybdenum cofactor biosynthesis	ATP // molybdopterin // H<SUP>+</SUP> // molybdopterin adenine dinucleotide // diphosphate
beta-D-fructofuranose + ATP  ->  beta-D-fructofuranose 6-phosphate + ADP + H+	EC-2.7.1.4	sorbitol degradation I	ATP // &beta;-D-fructofuranose // H<SUP>+</SUP> // &beta;-D-fructofuranose 6-phosphate // ADP
S-adenosyl-L-methionine + H+  ->  CO2 + S-adenosyl 3-(methylsulfanyl)propylamine	EC-4.1.1.50	spermine biosynthesis // spermidine biosynthesis	H<SUP>+</SUP> // <i>S</i>-adenosyl-L-methionine // CO<SUB>2</SUB> // <i>S</i>-adenosyl 3-(methylsulfanyl)propylamine
arachidonate + dioxygen + H2O  ->  8-epi-prostaglandin F2alpha		arachidonate metabolites biosynthesis	H<sub>2</sub>O // dioxygen // arachidonate // 8-<i>epi</i>-prostaglandin F<sub>2&alpha;</sub>
a (1->4)-alpha-D-glucan + n H2O  ->  n a (1->4)-alpha-D-glucan	EC-3.2.1.1		H<sub>2</sub>O // a (1&rarr;4)-&alpha;-D-glucan
L-methionine + hydrogen peroxide  ->  L-methionine S-oxide + H2O			hydrogen peroxide // L-methionine // L-methionine <i>S</i>-oxide // H<sub>2</sub>O
a 6,7-dihydropteridine  ->  a 7,8-dihydropteridine			a 6,7-dihydropteridine // a 7,8-dihydropteridine
a 1-O-(alk-1-enyl)-sn-glycero-3-phosphoethanolamine + H2O  ->  a 1-alk-1-enyl-sn-glycerol + O-phosphoethanolamine + H+	EC-3.1.4.3	plasmalogen degradation	H<sub>2</sub>O // a 1-O-(alk-1-enyl)-<i>sn</i>-glycero-3-phosphoethanolamine // a 1-alk-1-enyl-<i>sn</i>-glycerol // <i>O</i>-phosphoethanolamine // H<SUP>+</SUP>
a protein with a disulfide bond + phylloquinol  <-  a protein with reduced L-cysteine residues + phylloquinone	EC-1.17.4.4	vitamin K-epoxide cycle	a protein with a disulfide bond // phylloquinol // phylloquinone // a protein with reduced L-cysteine residues
2 L-arginine + 2 NADPH + 2 H+ + 2 dioxygen  ->  2 Nomega-hydroxy-L-arginine + 2 NADP+ + 2 H2O		2 L-arginine + 3 NADPH + H+ + 4 dioxygen  ->  2 L-citrulline + 2 nitric oxide + 3 NADP+ + 4 H2O	dioxygen // H<SUP>+</SUP> // NADPH // L-arginine // N<sup>&omega;</sup>-hydroxy-L-arginine // NADP<sup>+</sup> // H<sub>2</sub>O
UDP-N-acetyl-alpha-D-glucosamine + Man5(GlcNAc)2-[protein] (isomer 5A1,2)  ->  Man5(GlcNAc)3-[protein] + UDP + H+	EC-2.4.1.101	complex <i>N</i>-linked glycan biosynthesis (vertebrates)	Man<sub>5</sub>(GlcNAc)<sub>2</sub>-[protein] (isomer 5A<sub>1,2</sub>) // UDP-<i>N</i>-acetyl-&alpha;-D-glucosamine // H<SUP>+</SUP> // Man<sub>5</sub>(GlcNAc)<sub>3</sub>-[protein] // UDP
ammonia + H+  <-->  ammonium			H<SUP>+</SUP> // ammonia // ammonium
D-ribose 5-phosphate  <-->  D-ribulose 5-phosphate	EC-5.3.1.6	pentose phosphate pathway (non-oxidative branch)	D-ribose 5-phosphate // D-ribulose 5-phosphate
D-tryptophan + dioxygen  ->  N-formyl-D-kynurenine	EC-1.13.11.52		dioxygen // D-tryptophan // <i>N</i>-formyl-D-kynurenine
GDP-alpha-D-mannose  ->  GDP-4-dehydro-alpha-D-rhamnose + H2O	EC-4.2.1.47	GDP-L-fucose biosynthesis I (from GDP-D-mannose)	GDP-&alpha;-D-mannose // H<sub>2</sub>O // GDP-4-dehydro-&alpha;-D-rhamnose
leukotriene E4  ->  11-trans leukotriene E4		arachidonate metabolites biosynthesis	leukotriene E4 // 11-<i>trans</i> leukotriene E4
squalene + a reduced [NADPH-hemoprotein reductase] + dioxygen  ->  (3S)-2,3-epoxy-2,3-dihydrosqualene + an oxidized [NADPH-hemoprotein reductase] + H2O	EC-1.14.14.17	epoxysqualene biosynthesis	a reduced [NADPH-hemoprotein reductase] // dioxygen // squalene // (3<i>S</i>)-2,3-epoxy-2,3-dihydrosqualene // H<sub>2</sub>O // an oxidized [NADPH-hemoprotein reductase]
arachidonate + dioxygen  ->  (5S)-HpETE	EC-1.13.11.34	arachidonate metabolites biosynthesis // lipoxin biosynthesis // leukotriene biosynthesis	arachidonate // dioxygen // (5<i>S</i>)-HpETE
acetyl-CoA + serotonin  ->  N-acetyl-serotonin + coenzyme A + H+	EC-2.3.1.87	serotonin and melatonin biosynthesis	serotonin // acetyl-CoA // H<SUP>+</SUP> // coenzyme A // <i>N</i>-acetyl-serotonin
valproyl-CoA + an oxidized electron-transfer flavoprotein + H+  ->  (2E)-2-propylpent-2-enoyl-CoA + a reduced electron-transfer flavoprotein	EC-1.3.8.5	valproate &beta;-oxidation	H<SUP>+</SUP> // an oxidized electron-transfer flavoprotein // valproyl-CoA // (2<i>E</i>)-2-propylpent-2-enoyl-CoA // a reduced electron-transfer flavoprotein
a [protein]-L-cysteine + nitric oxide + dioxygen  ->  a [protein] 3-nitrosothio-L-alanine + superoxide + H+		protein <i>S</i>-nitrosylation and denitrosylation	dioxygen // nitric oxide // a [protein]-L-cysteine // a [protein] 3-nitrosothio-L-alanine // superoxide // H<SUP>+</SUP>
acetyl-CoA + a [protein]-L-cysteine  <-->  a [protein] S-acetyl-L-cysteine + coenzyme A		2 acetyl-CoA  <-->  acetoacetyl-CoA + coenzyme A	a [protein]-L-cysteine // acetyl-CoA // a [protein] <i>S</i>-acetyl-L-cysteine // coenzyme A
a 1-phosphatidyl-1D-myo-inositol + UDP-N-acetyl-alpha-D-glucosamine  ->  a 6-(N-acetyl-alpha-D-glucosaminyl)-1-phosphatidyl-1D-myo-inositol + UDP + H+	EC-2.4.1.198		UDP-<i>N</i>-acetyl-&alpha;-D-glucosamine // a 1-phosphatidyl-1D-<i>myo</i>-inositol // a 6-(<i>N</i>-acetyl-&alpha;-D-glucosaminyl)-1-phosphatidyl-1D-myo-inositol // UDP // H<SUP>+</SUP>
a phosphatidylethanolamine + L-serine  <-->  a phosphatidylserine + ethanolamine	EC-2.7.8.29	phosphatidylethanolamine biosynthesis III // phosphatidylserine biosynthesis II	L-serine // a phosphatidylethanolamine // a phosphatidylserine // ethanolamine
3-monoiodothyronine + a reduced two electron carrier  ->  L-thyronine + iodide + an oxidized electron carrier + H+		thyroid hormone metabolism I (via deiodination)	a reduced two electron carrier // 3-monoiodothyronine // L-thyronine // an oxidized electron carrier // iodide // H<SUP>+</SUP>
a [thyroglobulin]-L-tyrosine + hydrogen peroxide + iodide + H+  ->  a [thyroglobulin]-3-iodotyrosine + 2 H2O	EC-1.11.1.8	thyroid hormone biosynthesis	H<SUP>+</SUP> // iodide // hydrogen peroxide // a [thyroglobulin]-L-tyrosine // a [thyroglobulin]-3-iodotyrosine // H<sub>2</sub>O
testosterone + NAD+  <-->  androstenedione + NADH + H+	EC-1.1.1.239		testosterone // NAD<sup>+</sup> // androstenedione // H<SUP>+</SUP> // NADH
L-glutamate[mitochondrial lumen] + NAD+[mitochondrial lumen] + H2O[mitochondrial lumen]  <-->  2-oxoglutarate[mitochondrial lumen] + ammonium[mitochondrial lumen] + NADH[mitochondrial lumen] + H+[mitochondrial lumen]	EC-1.4.1.2		NAD<sup>+</sup> // H<sub>2</sub>O // L-glutamate // 2-oxoglutarate // ammonium // NADH // H<SUP>+</SUP>
an aryl sulfate + H2O  ->  a phenol + sulfate + H+	EC-3.1.6.1		H<sub>2</sub>O // an aryl sulfate // a phenol // sulfate // H<SUP>+</SUP>
prostaglandin H1  ->  thromboxane A1	EC-5.3.99.5	di-homo-&gamma;-linolenate metabolites biosynthesis	prostaglandin H<sub>1</sub> // thromboxane A<sub>1</sub>
a short-chain (3S)-3-hydroxy-2-methylacyl-CoA + NAD+  ->  a short-chain 2-methyl-3-oxoacyl-CoA + NADH + H+	EC-1.1.1.178	2-methyl-branched fatty acid &beta;-oxidation	NAD<sup>+</sup> // a short-chain (3<i>S</i>)-3-hydroxy-2-methylacyl-CoA // a short-chain 2-methyl-3-oxoacyl-CoA // NADH // H<SUP>+</SUP>
