name	smiles
19-hydroxytestosterone	C[C@@]12CC[C@@H]3[C@@H](CCC4=CC(=O)CC[C@@]43CO)[C@@H]1CC[C@@H]2O
(15<i>S</i>)-hydroxyanandamide	CCCCC[C@H](O)/C=C/C=C\C/C=C\C/C=C\CCCC(=O)NCCO
(9Z,12Z,15Z,18Z,21Z)-3-oxotetracosapentaenoyl-CoA	CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCCCC(=O)CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O
thromboxane A<sub>2</sub>	CCCCC[C@H](O)/C=C/[C@H]1O[C@H]2C[C@H](O2)[C@@H]1C/C=C\CCCC(=O)O
13,14-dihydro-prostaglandin E<sub>3</sub>	CC/C=C\C[C@H](O)CC[C@H]1[C@H](O)CC(=O)[C@@H]1C/C=C\CCCC(=O)O
crotonyl-CoA	C/C=C/C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O
7-dehydrocholesterol	CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2C3=CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C
lanthionine	N[C@@H](CSC[C@H](N)C(=O)O)C(=O)O
dUTP	O=c1ccn([C@H]2C[C@H](O)[C@@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O2)c(=O)[nH]1
&alpha;-linolenoyl-CoA	CC/C=C\C/C=C\C/C=C\CCCCCCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O
(5S,7E,9E,11Z,13E,15S)-15-hydroperoxy-5-hydroxyicosa-7,9,11,13-tetraenoate	CCCCC[C@@H](/C=C/C=C\C=C\C=C\C[C@@H](O)CCCC(=O)O)OO
