Reaction	EC-Number	In-Pathway	Substrates
2-oxoglutarate + a [2-oxoglutarate dehydrogenase E2 protein] N6-lipoyl-L-lysine  ->  a [2-oxoglutarate dehydrogenase E2 protein] N6-S-succinyldihydrolipoyl-L-lysine + CO2	EC-1.2.4.2	2-ketoglutarate dehydrogenase complex	a [2-oxoglutarate dehydrogenase E2 protein] <i>N<sup>6</sup></i>-lipoyl-L-lysine // 2-oxoglutarate // a [2-oxoglutarate dehydrogenase E2 protein] <i>N<sup>6</sup></i>-<i>S</i>-succinyldihydrolipoyl-L-lysine // CO<SUB>2</SUB>
deoxyadenosine + H2O  =  ammonia + deoxyinosine			deoxyadenosine // H<SUB>2</SUB>O // ammonia // deoxyinosine
UDP-alpha-N-acetyl-D-glucosamine + a beta-D-mannosyl-[protein]  =  UDP + N-acetyl-beta-D-glucosaminyl-(1->4)-beta-D-mannosyl-[protein]	EC-2.4.1.144		a &beta;-D-mannosyl-[protein] // UDP-&alpha;-<i>N</i>-acetyl-D-glucosamine // UDP // <i>N</i>-acetyl-&beta;-D-glucosaminyl-(1&rarr;4)-&beta;-D-mannosyl-[protein]
leukotriene-C4  =  leukotriene-A4 + glutathione	EC-4.4.1.20		leukotriene-C4 // leukotriene-A4 // glutathione
putrescine + acetyl-CoA  ->  N-acetylputrescine + coenzyme A + 2 H+	EC-2.3.1.57	putrescine degradation III	acetyl-CoA // putrescine // H<SUP>+</SUP> // <i>N</i>-acetylputrescine // coenzyme A
2 acetyl-CoA  <-->  acetoacetyl-CoA + coenzyme A	EC-2.3.1.9	ketolysis // ketogenesis // glutaryl-CoA degradation // ketone oxidation // ketogenesis // mevalonate pathway I // acetoacetate degradation (to acetyl CoA)	acetyl-CoA // acetoacetyl-CoA // coenzyme A
2 a phosphatidylglycerol  ->  a cardiolipin + glycerol	EC-2.7.8	cardiolipin biosynthesis I	a phosphatidylglycerol // a cardiolipin // glycerol
(R)-3-hydroxybutanoyl-CoA + NAD+  =  acetoacetyl-CoA + NADH + H+	EC-1.1.1.36		NAD<sup>+</sup> // (<i>R</i>)-3-hydroxybutanoyl-CoA // acetoacetyl-CoA // NADH // H<SUP>+</SUP>
an N-acyl-D-mannosamine + ATP + H+  =  an N-acyl-alpha-D-mannosamine 6-phosphate + ADP	EC-2.7.1.60		ATP // H<SUP>+</SUP> // an <i>N</i>-acyl-D-mannosamine // an <i>N</i>-acyl-&alpha;-D-mannosamine 6-phosphate // ADP
L-homocysteine + glycine betaine  ->  L-methionine + dimethylglycine	EC-2.1.1.5	methionine salvage II (mammalia) // glycine betaine degradation	glycine betaine // L-homocysteine // L-methionine // dimethylglycine
L-cystathionine + H2O  ->  ammonia + 2-oxobutanoate + L-cysteine + H+	EC-4.4.1.1	cysteine biosynthesis/homocysteine degradation // cysteine biosynthesis II	H<SUB>2</SUB>O // L-cystathionine // H<SUP>+</SUP> // ammonia // 2-oxobutanoate // L-cysteine
5alpha-cholesta-7,24-dien-3beta-ol + NADPH + H+  ->  lathosterol + NADP+	EC-1.3.1.72	cholesterol biosynthesis I	NADPH // 5&alpha;-cholesta-7,24-dien-3&beta;-ol // H<SUP>+</SUP> // lathosterol // NADP<sup>+</sup>
2-methyl-3-hydroxybutyryl-CoA + NAD+  <-->  2-methylacetoacetyl-CoA + NADH + H+	EC-1.1.1.178	2-methylbutyrate biosynthesis // isoleucine degradation	2-methyl-3-hydroxybutyryl-CoA // NAD<sup>+</sup> // H<SUP>+</SUP> // NADH // 2-methylacetoacetyl-CoA
ATP + dGMP  =  ADP + dGDP	EC-2.7.4.12		dGMP // ATP // ADP // dGDP
xanthosine + H2O  =  D-ribose + xanthine	EC-3.2.2.1		H<SUB>2</SUB>O // xanthosine // D-ribose // xanthine
a ribonucleoside 2',3'-cyclic phosphate + H2O  =  a ribonucleoside 2'-phosphate	EC-3.1.4.37		a ribonucleoside 2',3'-cyclic phosphate // H<SUB>2</SUB>O // a ribonucleoside 2'-phosphate
