Compound	SMILES
L-alanine	C(=O)([O-])[C@@H]([NH3+])C
allantoate	C(C(=O)[O-])(NC(=O)N)NC(=O)N
portulacaxanthin II	C(\C=C1(C[C@H](NC(/C(=O)[O-])=C/1)C([O-])=O))=N\[C@@H](CC2(\C=C/C(/O)=C\C=2))C([O-])=O
sucrose	C([C@@]2(O[C@H]1(O[C@@H]([C@@H](O)[C@@H]([C@H]1O)O)CO))(O[C@H](CO)[C@H]([C@@H]2O)O))O
4&alpha;-methyl-5&alpha;-ergosta-8,14,24(28)-trien-3&beta;-ol	CC(C(CC[C@H](C3([C@]2(CCC4(/[C@]1(CC[C@@H]([C@H]([C@@H]1CCC(/C2=CC3)=4)C)O)C))(C)))C)=C)C
<i>cis</i>-aconitate	C(=CC(=O)[O-])(C([O-])=O)CC(=O)[O-]
(R)-3-amino-2-methylpropanoate	C([C@H](C([O-])=O)C)[NH3+]
a carbonyl group	C(=O)([R1])[R1]
17-&alpha;-hydroxypregnenolone	C[C@]34(CC[C@H]2([C@@H](CCC1(\[C@@](CCC(\C=1)O)(C)2))([C@H](CC[C@@]3(C(C)=O)O)4)))
thymidine	CC1(\C(=O)NC(N(\C=1)C2(OC(C(C2)O)CO))=O)
adenosine	C1(\N=C(C2(\N=C/N(C(\N=1)=2)[C@H]3([C@H](O)[C@H](O)[C@@H](CO)O3)))\N)
<i>cis</i>-stilbene oxide	C1(\C=C/C=C\C=1)[C@@H]2([C@@H](O2)C3(\C=C/C=C\C=3))
fructose-1,6-bisphosphate	C(OP(=O)([O-])[O-])[C@H]1(O[C@](O)(COP(=O)([O-])[O-])[C@@H](O)[C@H](O)1)
<i>N</i><SUP>1</SUP>-acetylspermidine	CC(=O)NCCC[NH2+]CCCC[NH3+]
(<i>S</i>)-malate	C(=O)([O-])C[C@H](O)C([O-])=O
x-lman-HEX-1:5|6:d	
GLYCO-CT-PHOSPHATE	
5,6-dihydroxyindole-2-carboxylate	C1(/C2(\C=C(C(=O)[O-])/NC(/C=C(C(/O)=1)/O)=2))
N,N-dimethylaniline	CN(C1(\C=C/C=C\C=1))C
4-trimethylammoniobutanal	C(=O)CCC[N+](C)(C)C
uridine	C1(\C(=O)NC(=O)N(\C=1)[C@@H]2(O[C@H](CO)[C@@H](O)[C@@H](O)2))
calcidiol	C=C1(CC[C@H](O)CC/1=C\C=C3(CC[C@@]2(C)(C(CCC([C@H](C)CCCC(C)(C)O)2)C3)))
acetoacetyl-CoA	CC(=O)CC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OCC3(OC(N1(\C=N/C2(C(/N)=N\C=N/C1=2)))C(O)C(OP(=O)([O-])[O-])3)
dihydrozeatin-<i>O</i>-glucoside	C1(C2(/N=C\NC(/N=C\N=1)=2))NCCC(CO[C@@H]3([C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O))C
<i>p</i>-aminobenzoate	C(=O)([O-])C1(\C=C/C(/N)=C\C=1)
kynurenine	C1(\C=C/C(/C(=O)CC([NH3+])C(=O)[O-])=C(\C=1)/N)
D-glyceraldehyde-3-phosphate	C(OP(=O)([O-])[O-])[C@@H](O)C=O
x-dgal-HEX-1:5	
D-<i>myo</i>-inositol (1,4,5)-trisphosphate	[C@H]1(O)([C@@H](OP(=O)([O-])[O-])[C@H](OP(=O)([O-])[O-])[C@@H](O)[C@@H](O)[C@@H](OP([O-])([O-])=O)1)
5-diphospho-1D-myo-inositol (1,2,3,4,6)pentakisphosphate	[C@H]1(OP(=O)([O-])[O-])([C@@H](OP(=O)([O-])OP(O)([O-])=O)[C@H](OP(=O)([O-])[O-])[C@@H](OP(=O)([O-])[O-])[C@@H](OP(=O)([O-])[O-])[C@@H](OP(=O)([O-])[O-])1)
<i>N</i>-acetyl-&beta;-D-glucosamine	CC(=O)N[C@H]1([C@H](O)O[C@H](CO)[C@@H](O)[C@H](O)1)
Mg<SUP>2+</SUP>	[Mg+2]
4&alpha;-formyl-5&alpha;-cholesta-8-en-3&beta;-ol	CC(CCCC(C4([C@@]1(C(C2(\CCC3([C@@](C(\CC1)=2)(CC[C@@H]([C@H]3C=O)O)C)))CC4)C))C)C
<i>aldehydo</i>-D-galacturonate	C(=O)[C@H](O)[C@@H](O)[C@@H](O)[C@H](O)C(=O)[O-]
dUTP	C(OP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])[C@H]1(O[C@H](C[C@H](O)1)N2(\C=C/C(=O)NC(=O)2))
ferulate	COC1(\C(\O)=C/C=C(/C=C/C([O-])=O)/C=1)
b-dgro-dgal-NON-2:6|1:a|2:keto|3:d	
UDP-&alpha;-<i>N</i>-acetyl-D-glucosamine	C([C@@H]1([C@H]([C@H]([C@@H](O1)N2(\C=C/C(NC2=O)=O))O)O))OP(OP(O[C@@H]3([C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)NC(C)=O))([O-])=O)([O-])=O
adenosine 3',5'-bisphosphate	C3(\N=C1(C(/N=C\N1[C@@H]2(O[C@@H]([C@H]([C@H]2O)OP([O-])([O-])=O)COP([O-])(=O)[O-]))=C(N)\N=3))
mevalonate-5-phosphate	C[C@@](O)(CCOP(=O)([O-])[O-])CC(=O)[O-]
2-methoxy-6-<i>all trans</i>-octaprenyl-2-methoxy-1,4-benzoquinol	CC(C)=CCCC(\C)=C/CCC(\C)=C/CCC(\C)=C/CCC(\C)=C/CCC(\C)=C/CCC(\C)=C/CCC(\C)=C/CC1(/C=C(/C=C(C(/O)=1)/OC)/O)
lactose	C([C@H]1(O[C@H]([C@@H]([C@H]([C@H]1O)O)O)O[C@@H]2([C@@H](CO)O[C@@H]([C@@H]([C@H]2O)O)O)))O
4-imidazolone-5-propionate	C1(\N[C-](C(\N=1)=O)CCC([O-])=O)
4-hydroxysphinganine	CCCCCCCCCCCCCCC(O)C(O)C([NH3+])CO
1D-<i>myo</i>-inositol (3)-monophosphate	[C@H]1(O)([C@@H](O)[C@H](O)[C@@H](OP(=O)([O-])[O-])[C@@H](O)[C@@H](O)1)
UV light	
methionol	C(CCO)SC
x-dman-HEX-x:x	
11-deoxycorticosterone	C[C@@]34(CCC(=O)\C=C(CCC1(C(CC[C@]2(C)([C@H](CCC12)C(=O)CO))3))/4)
4&alpha;-carboxy-4&beta;-methyl-5&alpha;-cholesta-8-en-3&beta;-ol	CC(CCCC(C4([C@@]2(C(C3(\CCC1([C@@]([C@H](CC[C@@]1(C(\CC2)=3)C)O)(C([O-])=O)C)))CC4)C))C)C
trans-3'-hydroxycotinine	C2(/N=C\C=C/C(/[C@@H]1(C[C@@H](O)C(=O)N(C)1))=2)
5&beta;-cholestan-3-one	C[C@@]12(CCC(C[C@H]1CC[C@@H]3([C@@H]2CC[C@]4([C@H]3CC[C@@H]4[C@@H](CCCC(C)C)C)C))=O)
dTDP-4-dehydro-6-deoxy-D-glucose	CC1(\C(=O)NC(=O)N(\C=1)[C@H]3(C[C@H](O)[C@@H](COP(=O)([O-])OP(=O)([O-])O[C@H]2(O[C@H](C)C(=O)[C@H](O)[C@@H](O)2))O3))
a-dman-HEX-1:5	
CDP-choline	C(OP([O-])(=O)OP(OCC[N+](C)(C)C)([O-])=O)[C@H]1(O[C@H]([C@H](O)[C@H](O)1)N2(\C=C/C(/N)=N\C2=O))
molybdenum cofactor	C2(N)(=NC3(\NC1(OC(COP([O-])(=O)[O-])C4(\S[Mo](=O)(=O)SC(/C1NC(\C(=O)N2)=3)=4))))
stearoyl-CoA	CCCCCCCCCCCCCCCCCC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1(O[C@H]([C@H](O)[C@H](OP(=O)([O-])[O-])1)N2(\C=N/C3(C(/N)=N\C=N/C2=3)))
&beta;-L-arabinofuranose	C(O)[C@H]1([C@H](O)[C@@H](O)[C@@H](O)O1)
L-phenylalanine	C(=O)([O-])[C@@H]([NH3+])CC1(\C=C/C=C\C=1)
(S)-3-hydroxybutanoyl-CoA	C([C@H]1(O[C@H]([C@@H]([C@@H]1OP([O-])([O-])=O)O)N2(\C=N/C3(C(/N)=N\C=N/C2=3))))OP([O-])(=O)OP(OCC(C(C(=O)NCCC(NCCSC(C[C@H](C)O)=O)=O)O)(C)C)(=O)[O-]
6-phospho-D-glucono-1,5-lactone	C1([C@@H]([C@H]([C@H](O)[C@H](O1)COP([O-])([O-])=O)O)O)(=O)
nicotinamide mononucleotide	[C@H]1([C@H](O)[C@@H]([C@@H](COP([O-])(=O)[O-])O1)O)[N+]2(\C=C/C=C(/C=2)/C(=O)N)
isopentenyladenine-9-<i>N</i>-glucoside	C1(C2(\N=C/N(C(\N=C/N=1)=2)[C@@H]3([C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O)))NCC=C(C)C
glycyl-peptide	C(C(NC(CN)=O)[R])(O)=O
tartronate semialdehyde	C(C(O)C(=O)[O-])=O
17-&alpha;-hydroxyprogesterone	C[C@]34(C2([C@H](C1(CC[C@](O)(C(=O)C)[C@](C)1CC2))CCC/3=C\C(=O)CC4))
b-HEX-1:5|6:a	
imidazole acetaldehyde	C1(\N\C=N/C(\CC=O)=1)
arabinogalactan-trans-methoxy-mycolate	
dithiothreitol	C(S)[C@H](O)[C@@H](O)CS
<i>O</i>-acetylcarnitine	CC(=O)OC(C[N+](C)(C)C)CC(=O)[O-]
NADPH	C4(\N([C@H]1([C@@H]([C@@H]([C@H](O1)COP(OP(=O)([O-])OC[C@@H]2([C@H]([C@H]([C@@H](O2)N3(/C=C(C\C=C/3)/C(=O)N))O)O))([O-])=O)O)OP([O-])([O-])=O))C5(\N=C/N=C(C(\N=4)=5)/N))
all-<i>trans</i>-octaprenyl diphosphate	CC(C)=CCCC(\C)=C/CCC(\C)=C/CCC(\C)=C/CCC(\C)=C/CCC(\C)=C/CCC(\C)=C/CCC(\C)=C/COP(=O)([O-])OP(=O)([O-])[O-]
oleanolate	CC2(CC[C@@]1(CC[C@@]3(C(/[C@@H]1C2)=C/C[C@H]4([C@]3(CC[C@@H]5([C@@]4(CC[C@@H](C5(C)C)O)C))C))C)C(=O)[O-])C
CDP-ethanolamine	C([C@@H]2([C@H]([C@H]([C@H](N1(C(/N=C(\C=C/1)/N)=O))O2)O)O))OP(OP(OCC[NH3+])([O-])=O)([O-])=O
indole-3-glyoxal	C1(/NC2(/C=C\C=C/C(/C(/C(=O)C=O)=1)=2))
3-deoxy-D-glycero-&alpha;-D-galacto-nonulosonate	C(O)[C@@H](O)[C@H]([C@@H]1(O[C@](C([O-])=O)(O)C[C@@H]([C@H]1O)O))O
butanoyl-CoA	CCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)[C@@](C)(C)COP(=O)(OP(=O)(OC[C@H]1(C(OP([O-])(=O)[O-])C(O)[C@H](O1)N2(C3(\N=C/N=C(C(\N=C/2)=3)/N))))[O-])[O-]
kinetin	C1(C2(N\C=N/C(\N=C/N=1)=2))NCC3(\O\C=C/C=3)
[3-methylcrotonoyl-CoA:carbon-dioxide ligase(ADP-forming)]	C(=O)(N[R2])[C@@H](NC([R1])=O)CCCCNC(=O)CCCCC2(C1(NC(=O)NC1CS2))
phosphoryl-choline	C[N+](CCOP([O-])([O-])=O)(C)C
oleoyl-CoA	CCCCCCCC\C=C/CCCCCCCC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1(O[C@H]([C@H](O)[C@H](OP(=O)([O-])[O-])1)N2(\C=N/C3(C(/N)=N\C=N/C2=3)))
D-gluconate	C(O)[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C(=O)[O-]
x-dgal-HEX-1:5|6:a	
(R,R)-2,3-butanediol	C[C@H]([C@H](O)C)O
(3Z)-hex-3-en-ol	CC\C=C/CCO
O-ureidohomoserine	C(CC(C(=O)[O-])[NH3+])ONC(N)=O
L-arginino-succinate	C(NC(NC(CC(=O)[O-])C(=O)[O-])=[NH2+])CCC(C(=O)[O-])[NH3+]
D-xylitol	C(O)[C@H](O)C(O)[C@H](O)CO
4,4-dimethyl-5&alpha;-cholest-7-en-3&beta;-ol	CC(C)CCC[C@@H](C)[C@H]1(CC[C@@]2(C)(C3(\[C@H](CC[C@](C)12)[C@@]4(C)(CC[C@H](O)C(C)(C)[C@H](C/C=3)4))))
glycolithocholate	C[C@]34(CC[C@H]2([C@@H](CC[C@@H]1(C[C@@H](CC[C@@](C)12)O))[C@H](CC[C@H]([C@H](C)CCC(=O)NCC([O-])=O)3)4))
glycano-1,3-(<i>N</i>-acetyl-&alpha;-D-galactosaminyl)-glycoprotein	C(O)[C@@H]2([C@@H](O)[C@H](O[C@@H]1(O[C@H](CO)[C@H](O)[C@H](O)[C@@H](NC(O)=O)1))[C@@H](O)[C@H](O[R])O2)
3-oxoadipyl-CoA	CC(C)(COP(=O)([O-])OP(OCC3(OC(N1(\C=N/C2(C(/N)=N\C=N/C1=2)))C(C3OP([O-])([O-])=O)O))(=O)[O-])C(O)C(NCCC(=O)NCCSC(CC(CCC([O-])=O)=O)=O)=O
(25<i>R</i>)-3&alpha;,7&alpha;-dihydroxy-5&beta;-cholestanoyl-CoA	C[C@@]12(CC[C@H](C[C@H]1C[C@H]([C@@H]3([C@@H]2CC[C@]4([C@H]3CC[C@@H]4[C@@H](CCC[C@H](C(SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(OP(=O)(OC[C@@H]5([C@@H](OP([O-])(=O)[O-])[C@@H](O)[C@@H](O5)N6(C7(\N=C/N=C(C(\N=C/6)=7)/N))))[O-])[O-])=O)C)C)C))O)O)
dCTP	C([C@@H]2([C@H](C[C@H](N1(C(/N=C(\C=C/1)/N)=O))O2)O))OP(OP(OP([O-])([O-])=O)([O-])=O)([O-])=O
&beta;-L-fucose 1-phosphate	C[C@@H]1(O[C@@H](OP(=O)([O-])[O-])[C@@H](O)[C@H](O)[C@H](O)1)
hydrogen sulfide	S
5-hydroxy-2-oxo-4-ureido-2,5-dihydro-1H imidazole-5-carboxylate	C(NC1(\C(O)(NC(/N=1)=O)C(=O)[O-]))(=O)N
selenocysteine	C([C@@H]([NH3+])C[SeH])(=O)[O-]
I<SUB>2</SUB>	II
