name	smiles
2-oxobutanoate	CCC(=O)C(=O)O
L-arabitol	OC[C@H](O)C(O)[C@@H](O)CO
trans-3-hydroxycotinine-glucuronide	CN1C(=O)[C@H](OC2OC(C(=O)O)C(O)C(O)C2O)C[C@H]1c1cccnc1
deoxyuridine	O=c1ccn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)[nH]1
thromboxane A<sub>2</sub>	CCCCC[C@H](O)/C=C/[C@H]1O[C@H]2C[C@H](O2)[C@@H]1C/C=C\CCCC(=O)O
2-oxoisovalerate	CC(C)C(=O)C(=O)O
diphosphate	O=P(O)(O)OP(=O)(O)O
uroporphyrinogen-III	O=C(O)CCc1c2[nH]c(c1CC(=O)O)Cc1[nH]c(c(CC(=O)O)c1CCC(=O)O)Cc1[nH]c(c(CC(=O)O)c1CCC(=O)O)Cc1[nH]c(c(CCC(=O)O)c1CC(=O)O)C2
prostaglandin-G2	CCCCCC(/C=C/[C@@H]1[C@@H](C/C=C\CCCC(=O)O)[C@@H]2C[C@H]1OO2)OO
2-oxoglutarate	O=C(O)CCC(=O)C(=O)O
zymosterol	CC(C)=CCC[C@@H](C)C1CCC2C3=C(CC[C@@]21C)[C@@]1(C)CC[C@H](O)CC1CC3
7-dehydro-cholesterol	CC(C)CCC[C@@H](C)C1CCC2C3=CC=C4C[C@@H](O)CC[C@]4(C)C3CC[C@@]21C
6-lactoyl-5,6,7,8-tetrahydropterin	CC(O)C(=O)C1CNc2nc(N)[nH]c(=O)c2N1
crotonyl-CoA	C/C=C/C(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O
hydrogen cyanide	C#N
cotinine	CN1C(=O)CC[C@H]1c1cccnc1
iodide	I
(24<i>R</i>,25<i>R</i>)-3&alpha;,7&alpha;,24-trihydroxy-5&beta;-cholestanoyl CoA	CC(C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O)C(O)CC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3C(O)C[C@@H]4CC(O)CC[C@@]4(C)[C@H]3CC[C@]12C
dUTP	O=c1ccn([C@H]2C[C@H](O)[C@@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O2)c(=O)[nH]1
taurochenodeoxycholate	C[C@H](CCC(=O)NCCS(=O)(=O)O)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C
6-methoxy-5-methyl-2-<i>all-trans</i>-hexaprenyl-1,4-benzoquinol	COc1cc(O)c(C)c(C/C=C(/C)CC/C=C(/C)CC/C=C(/C)CC/C=C(/C)CC/C=C(/C)CCC=C(C)C)c1O
chorismate	C=C(O[C@@H]1C=C(C(=O)O)C=C[C@H]1O)C(=O)O
D-fructose-6-phosphate	O=P(O)(O)OC[C@H]1O[C@](O)(CO)[C@@H](O)[C@@H]1O
nicotinamide riboside	NC(=O)c1ccc[n+](C2OC(CO)C(O)C2O)c1
(<i>R</i>)-lactate	C[C@@H](O)C(=O)O
<i>sn</i>-glycerol-3-phosphate	O=P(O)(O)OC[C@H](O)CO
citrate	O=C(O)CC(O)(CC(=O)O)C(=O)O
pyrroline-hydroxy-carboxylate	O=C(O)[C@@H]1C[C@@H](O)C=N1
19-oxoandrost-4-ene-3,17-dione	CC12CCC3C(CCC4=CC(=O)CCC43C=O)C1CCC2=O
CMP-<i>N</i>-acetylneuraminate	CC(=O)N[C@H]1[C@H]([C@H](O)[C@H](O)CO)O[C@](OP(=O)(O)OC[C@H]2O[C@@H](n3ccc(N)nc3=O)[C@H](O)[C@@H]2O)(C(=O)O)C[C@@H]1O
acetoacetyl-CoA	CC(=O)CC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O
GDP	Nc1nc2c(ncn2[C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]2O)c(=O)[nH]1
D-mannose 6-phosphate	O=P(O)(O)OC[C@H]1O[C@H](O)[C@@H](O)[C@@H](O)[C@@H]1O
D-<i>myo</i>-inositol (1,3,4,5)-tetrakisphosphate	O=P(O)(O)O[C@H]1[C@@H](O)[C@@H](OP(=O)(O)O)[C@H](OP(=O)(O)O)[C@@H](OP(=O)(O)O)[C@H]1O
L-glutamine	NC(=O)CC[C@H](N)C(=O)O
dTTP	Cc1cn([C@H]2C[C@H](O)[C@@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O2)c(=O)[nH]c1=O
nicotinamide mononucleotide	NC(=O)c1ccc[n+]([C@H]2O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]2O)c1
&beta;-D-glucose	OC[C@H]1O[C@@H](O)[C@H](O)[C@@H](O)[C@@H]1O
pregnenolone	CC(=O)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C
superoxide	O=[O-]
3-chlorobenzoate	O=C(O)c1cccc(Cl)c1
ubiquinol-6	COc1c(O)c(C)c(C/C=C(/C)CC/C=C(/C)CC/C=C(/C)CC/C=C(/C)CC/C=C(/C)CCC=C(C)C)c(O)c1OC
L-cystathionine	N[C@@H](CCSC[C@H](N)C(=O)O)C(=O)O
dCTP	Nc1ccn([C@H]2C[C@H](O)[C@@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O2)c(=O)n1
4&alpha;-methyl-cholesta-8-enol	CC(C)CCC[C@@H](C)C1CCC2C3=C(CC[C@@]21C)[C@@]1(C)CC[C@H](O)[C@@H](C)C1CC3
1,3-bisphospho-D-glycerate	O=C(OP(=O)(O)O)C(O)COP(=O)(O)O
GDP-&alpha;-D-mannose	Nc1nc2c(ncn2[C@H]2O[C@H](COP(=O)(O)OP(=O)(O)O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)c(=O)[nH]1
guanidinoacetate	N=C(N)NCC(=O)O
molybdenum cofactor	Nc1nc2c(c(=O)[nH]1)NC1C3=C(S[Mo](=O)(=O)S3)C(COP(=O)(O)O)OC1N2
ATP	Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]1O
dihydrolipoamide	NC(=O)CCCC[C@@H](S)CCS
urate	O=C1NC(O)Nc2[nH]c(=O)[nH]c21
2-oxoadipate	O=C(O)CCCC(=O)C(=O)O
1D-<i>myo</i>-inositol 1,2,3,4,5,6-hexakisphosphate	O=P(O)(O)O[C@H]1[C@@H](OP(=O)(O)O)[C@@H](OP(=O)(O)O)[C@@H](OP(=O)(O)O)[C@@H](OP(=O)(O)O)[C@@H]1OP(=O)(O)O
ADP-ribose	Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)O[C@H]2O[C@H](CO)[C@@H](O)[C@H]2O)[C@@H](O)[C@H]1O
glycine	NCC(=O)O
(<i>R</i>)-lipoate	O=C(O)CCCC[C@@H]1CCSS1
protoheme IX	C=CC1=C(C)C2=NC1=Cc1c(C)c(CCC(=O)O)c3n1[Fe+2]n1c(c(C)c(C=C)/c1=C/2)=CC1=NC(=C3)C(CCC(=O)O)=C1C
pyridoxal	Cc1ncc(CO)c(C=O)c1O
Fe<SUP>2+</SUP>	[Fe+2]
D-<i>myo</i>-inositol (1,3,4,5,6)-pentakisphosphate	O=P(O)(O)O[C@@H]1[C@@H](OP(=O)(O)O)[C@H](OP(=O)(O)O)[C@@H](O)[C@H](OP(=O)(O)O)[C@H]1OP(=O)(O)O
coenzyme A	CC(C)(COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O)[C@@H](O)C(=O)NCCC(=O)NCCS
adenine	Nc1ncnc2nc[nH]c12
prostaglandin D<sub>2</sub>	CCCCC[C@@H](O)/C=C/[C@H]1C(=O)C[C@H](O)[C@@H]1C/C=C/CCCC(=O)O
dihydroxyacetone phosphate	O=C(CO)COP(=O)(O)O
arsenate	O=[As](O)(O)O
&alpha;-D-mannose 1-phosphate	O=P(O)(O)O[C@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]1O
5'-hydroxycotinine	CN1C(=O)CC[C@@]1(O)c1cccnc1
succinyl-CoA	CC(C)(COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O)C(O)C(=O)NCCC(=O)NCCSC(=O)CCC(=O)O
(25<i>R</i>)-3&alpha;,7&alpha;,12&alpha;-trihydroxy-5&beta;-cholestanoyl-CoA	C[C@H](CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4C[C@H](O)CC[C@@]4(C)[C@H]3C[C@H](O)[C@]12C)C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O
L-xylo-hexulonolactone	O=C1O[C@H]([C@@H](O)CO)[C@H](O)C1=O
1D-<i>myo</i>-inositol (3)-monophosphate	O=P(O)(O)O[C@@H]1[C@@H](O)[C@H](O)[C@H](O)[C@H](O)[C@@H]1O
5-phosphoribosyl-<i>N</i>-formylglycineamidine	N=C(CNC=O)NC1OC(COP(=O)(O)O)C(O)C1O
molybdenum cofactor (sulfide)	Nc1nc2c(c(=O)[nH]1)NC1C3=C(S[Mo](=O)(=S)S3)C(COP(=O)(O)O)OC1N2
uracil	O=c1cc[nH]c(=O)[nH]1
L-phenylalanine	N[C@@H](Cc1ccccc1)C(=O)O
<i>N</i>-acetyl-serotonin	CC(=O)NCCc1c[nH]c2ccc(O)cc12
prostaglandin-H<sub>2</sub>	CCCCCC(O)/C=C/[C@@H]1[C@@H](C/C=C\CCCC(=O)O)[C@@H]2C[C@H]1OO2
3-methylcrotonyl-CoA	CC(C)=CC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O
L-thyroxine	N[C@@H](Cc1cc(I)c(Oc2cc(I)c(O)c(I)c2)c(I)c1)C(=O)O
5&alpha;-cholesta-7,24-dien-3&beta;-ol	CC(C)=CCC[C@@H](C)C1CCC2C3=CCC4C[C@@H](O)CC[C@]4(C)C3CC[C@@]21C
5-phospho-&alpha;-D-ribose 1-diphosphate	O=P(O)(O)OC[C@H]1O[C@H](OP(=O)(O)OP(=O)(O)O)[C@H](O)[C@@H]1O
noradrenaline	NCC(O)c1ccc(O)c(O)c1
dimethylsulfide	CSC
R-4'-phosphopantothenoyl-L-cysteine	CC(C)(COP(=O)(O)O)[C@@H](O)C(=O)NCCC(=O)N[C@@H](CS)C(=O)O
aminoimidazole carboxamide ribonucleotide	NC(=O)c1ncn(C2O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]2O)c1N
nornicotine	c1cncc([C@@H]2CCCN2)c1
L-glutamate	N[C@@H](CCC(=O)O)C(=O)O
pyridoxamine 5'-phosphate	Cc1ncc(COP(=O)(O)O)c(CN)c1O
