Compound	SMILES
2-hydroxyethylphosphonate	C(CP([O-])(O)=O)O
&alpha;-D-xylopyranose	C1(O[C@H](O)[C@H](O)[C@@H](O)[C@H](O)1)
&beta;-D-xylopyranose	C1(O[C@@H](O)[C@H](O)[C@@H](O)[C@H](O)1)
&alpha;-D-galactopyranose	C(O)[C@H]1(O[C@H](O)[C@H](O)[C@@H](O)[C@@H](O)1)
&beta;-D-galactopyranose	C(O)[C@H]1(O[C@@H](O)[C@H](O)[C@@H](O)[C@@H](O)1)
&beta;-D-mannopyranose	C(O)[C@@H]1([C@@H](O)[C@H](O)[C@H](O)[C@H](O)O1)
D-glucono-1,5-lactone	C(O)[C@H]1(OC([C@@H]([C@H]([C@@H]1O)O)O)=O)
&alpha;-D-mannopyranose	C(O)[C@@H]1([C@@H](O)[C@H](O)[C@H](O)[C@@H](O)O1)
&alpha;-D-quinovopyranose	C[C@@H]1([C@@H](O)[C@H](O)[C@@H](O)[C@@H](O)O1)
<i>S</i>-(hydroxymethyl)glutathione	C(NC(=O)[C@H](CSCO)NC(=O)CC[C@H]([NH3+])C(=O)[O-])C(=O)[O-]
&gamma;-L-glutamyl-D-alanine	C[C@@H](NC(=O)CC[C@H]([NH3+])C(=O)[O-])C(=O)[O-]
&alpha;-D-rhamnopyranose	C[C@@H]1([C@H]([C@@H]([C@@H]([C@H](O1)O)O)O)O)
<i>S</i>-sulfanylglutathione	C(SS)[C@@H](C(NCC([O-])=O)=O)NC(=O)CC[C@H]([NH3+])C([O-])=O
ferroheme <i>o</i>	C=CC3(\C7(\[N+]4(\[Fe-2]16([N+]5(\C(/C(\CCC(=O)[O-])=C(C)\C(/C=C2(C(\C)=C(C(\N12)=C\C(\C(/C)=3)=4)/[C@@H](O)CC/C=C(C)/CC/C=C(C)/CCC=C(C)C))=5)=C/C8(/N6C(/C=7)=C(C)/C(\CCC(=O)[O-])=8))))))
D-quinovitol	C[C@H]([C@H]([C@@H]([C@H](CO)O)O)O)O
glutathione disulfide	C(SSC[C@@H](C(NCC([O-])=O)=O)NC(=O)CC[C@H]([NH3+])C([O-])=O)[C@@H](C(NCC([O-])=O)=O)NC(=O)CC[C@H]([NH3+])C([O-])=O
galactitol	C([C@@H]([C@H]([C@H]([C@H](O)CO)O)O)O)O
glutathioselenol	C(S[SeH])[C@@H](C(NCC([O-])=O)=O)NC(=O)CC[C@H]([NH3+])C([O-])=O
selenodiglutathione	C(S[Se]SC[C@@H](C(NCC([O-])=O)=O)NC(=O)CC[C@H]([NH3+])C([O-])=O)[C@@H](C(NCC([O-])=O)=O)NC(=O)CC[C@H]([NH3+])C([O-])=O
hypoglycin B	C=C1(C(C[C@@H](C(=O)[O-])NC(CC[C@H]([NH3+])C([O-])=O)=O)C1)
&alpha;-L-galactopyranose	C([C@@H]1(O[C@H]([C@H]([C@@H]([C@@H]1O)O)O)O))O
&alpha;-glucose 1,6-bisphosphate	C(OP([O-])(=O)[O-])[C@H]1(O[C@@H]([C@@H]([C@H]([C@@H]1O)O)O)OP(=O)([O-])[O-])
&beta;-L-galactopyranose	C([C@@H]1(O[C@@H]([C@H]([C@@H]([C@@H]1O)O)O)O))O
glutathione	C(S)[C@@H](C(NCC([O-])=O)=O)NC(=O)CC[C@H]([NH3+])C([O-])=O
&alpha;-L-arabinofuranose	C(O)[C@H]1([C@H](O)[C@@H](O)[C@H](O)O1)
&beta;-L-arabinofuranose	C(O)[C@H]1([C@H](O)[C@@H](O)[C@@H](O)O1)
