Reaction	EC-Number	In-Pathway	Substrates
all-trans neurosporene + an electron-transfer quinone  ->  all-trans-lycopene + an electron-transfer quinol	EC-1.3.5.6		an electron-transfer quinone // <i>all-trans</i> neurosporene // <i>all-trans</i>-lycopene // an electron-transfer quinol
cytosine + H2O + H+  ->  uracil + ammonium	EC-3.5.4.1	pyrimidine nucleobases salvage II	H<SUP>+</SUP> // H<sub>2</sub>O // cytosine // uracil // ammonium
a dodecanoyl-[acp] + H2O  ->  acyl-carrier protein + laurate + H+	EC-3.1.2.21	palmitate biosynthesis II (bacteria and plant cytoplasm)	H<sub>2</sub>O // a dodecanoyl-[acp] // a soluble [acyl-carrier protein] // laurate // H<SUP>+</SUP>
2 cob(I)alamin + an [oxidized flavoprotein] + 2 H+  ->  2 cob(II)alamin + a [reduced flavoprotein]		adenosylcobalamin salvage from cobalamin	H<SUP>+</SUP> // an [oxidized flavoprotein] // cob(I)alamin // cob(II)alamin // a [reduced flavoprotein]
dGDP + an oxidized thioredoxin + H2O  <-  GDP + a reduced thioredoxin	EC-1.17.4.1	guanosine deoxyribonucleotides <i>de novo</i> biosynthesis I	H<sub>2</sub>O // an oxidized thioredoxin // dGDP // GDP // a reduced thioredoxin
meso-diaminopimelate + H+  ->  L-lysine + CO2	EC-4.1.1.20		H<SUP>+</SUP> // <i>meso</i>-diaminopimelate // L-lysine // CO<SUB>2</SUB>
an S-sulfanyl-[L-cysteine desulfurase] + a [disordered-form [Fe-S] cluster scaffold protein]  ->  an S-sulfanyl-[cysteine desulfurase]-[disordered-form scaffold protein] complex		[2Fe-2S] iron-sulfur cluster biosynthesis	a [disordered-form [Fe-S] cluster scaffold protein] // an <i>S</i>-sulfanyl-[L-cysteine desulfurase] // an <i>S</i>-sulfanyl-[cysteine desulfurase]-[disordered-form scaffold protein] complex
3-deoxy-D-arabino-heptulopyranuronate 7-phosphate  ->  3-dehydroquinate + phosphate		3-deoxy-D-arabino-heptulosonate 7-phosphate  ->  3-dehydroquinate + phosphate	3-deoxy-D-arabino-heptulopyranuronate 7-phosphate // 3-dehydroquinate // phosphate
cob(II)alamin + a [corrinoid adenosyltransferase]  ->  cob(II)alamin-[corrinoid adenosyltranferase]		2 ATP + 2 cob(II)alamin + a [reduced flavoprotein]  ->  2 adenosylcobalamin + 2 triphosphate + an [oxidized flavoprotein] + 2 H+ // adenosylcobalamin salvage from cobalamin	a [corrinoid adenosyltransferase] // cob(II)alamin // cob(II)alamin-[corrinoid adenosyltranferase]
a [2-oxoglutarate dehydrogenase E2 protein] N6-dihydrolipoyl-L-lysine + NAD+  ->  a [2-oxoglutarate dehydrogenase E2 protein] N6-lipoyl-L-lysine + NADH + H+	EC-1.8.1.4		NAD<sup>+</sup> // a [2-oxoglutarate dehydrogenase E2 protein] <i>N<sup>6</sup></i>-dihydrolipoyl-L-lysine // a [2-oxoglutarate dehydrogenase E2 protein] <i>N<sup>6</sup></i>-lipoyl-L-lysine // NADH // H<SUP>+</SUP>
ATP + dTMP  ->  ADP + dTDP	EC-2.7.4.12 // EC-2.7.4.13 // EC-2.7.4.9	pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis III // pyrimidine deoxyribonucleotide phosphorylation	dTMP // ATP // ADP // dTDP
chlorophyllide a2 + NADPH + oxygen + H+  ->  71-hydroxychlorophyllide a2 + NADP+ + H2O		chlorophyll <i>b</i><sub>2</sub> biosynthesis // chlorophyllide a2 + 2 NADPH + 2 oxygen + 2 H+  ->  chlorophyllide b2 + 2 NADP+ + 3 H2O	H<SUP>+</SUP> // NADPH // oxygen // chlorophyllide <i>a</i><sub>2</sub> // 7<sup>1</sup>-hydroxychlorophyllide <i>a</i><sub>2</sub> // H<sub>2</sub>O // NADP<sup>+</sup>
a dodecanoyl-[acp] + a malonyl-[acp] + H+  ->  a 3-oxotetradecanoyl-[acp] + CO2 + acyl-carrier protein	EC-2.3.1.41 // EC-2.3.1.179	palmitate biosynthesis II (bacteria and plant cytoplasm)	H<SUP>+</SUP> // a malonyl-[acp] // a dodecanoyl-[acp] // a 3-oxotetradecanoyl-[acp] // CO<SUB>2</SUB> // a soluble [acyl-carrier protein]
(S)-malate  ->  fumarate + H2O	EC-4.2.1.2	partial TCA cycle (obligate autotrophs)	(<i>S</i>)-malate // fumarate // H<sub>2</sub>O
<i>trans</i>-&Delta;<SUP>2</SUP>-decenoyl-[acp]-reductase	EC-1.3.1.9	palmitate biosynthesis II (bacteria and plant cytoplasm)	NAD<sup>+</sup> // a decanoyl-[acp] // a (2<i>E</i>)-dec-2-enoyl-[acp] // NADH // H<SUP>+</SUP>
ATP + adenosylcobyrate + (R)-1-amino-2-propanol O-2-phosphate  ->  ADP + adenosyl-cobinamide phosphate + phosphate + H+	EC-6.3.1.10	adenosylcobinamide-GDP biosynthesis from cobyrinate <i>a,c</i>-diamide	(<i>R</i>)-1-amino-2-propanol <i>O</i>-2-phosphate // adenosylcobyrate // ATP // ADP // adenosyl-cobinamide phosphate // phosphate // H<SUP>+</SUP>
an octanoyl-[acp] + a [lipoyl-carrier protein]-L-lysine  ->  a [lipoyl-carrier protein] N6-octanoyl-L-lysine + acyl-carrier protein + H+	EC-2.3.1.181	lipoate biosynthesis and incorporation I	a [lipoyl-carrier protein]-L-lysine // an octanoyl-[acp] // a [lipoyl-carrier protein] <i>N<sup>6</sup></i>-octanoyl-L-lysine // a soluble [acyl-carrier protein] // H<SUP>+</SUP>
a tRNAGln + L-glutamine + ATP  ->  an L-glutaminyl-[tRNAGln] + AMP + diphosphate	EC-6.1.1.18	tRNA charging	ATP // L-glutamine // a tRNA<SUP>Gln</SUP> // an L-glutaminyl-[tRNA<SUP>Gln</SUP>] // diphosphate // AMP
a (3R)-3-hydroxyoctanoyl-[acp]  ->  a (2E)-oct-2-enoyl-[acp] + H2O	EC-4.2.1.59	palmitate biosynthesis II (bacteria and plant cytoplasm)	a (3<i>R</i>)-3-hydroxyoctanoyl-[acp] // a (2<i>E</i>)-oct-2-enoyl-[acp] // H<sub>2</sub>O
ATP + dCMP  ->  ADP + dCDP	EC-2.7.4.25 // EC-2.7.4.14 // EC-2.7.4.13	pyrimidine deoxyribonucleotide phosphorylation	dCMP // ATP // ADP // dCDP
