Reaction	EC-Number	In-Pathway	Substrates
methylphosphonate + ATP  ->  alpha-D-ribose-1-methylphosphonate-5-triphosphate + adenine	EC-2.7.8.37	methylphosphonate degradation I	ATP // methylphosphonate // &alpha;-D-ribose-1-methylphosphonate-5-triphosphate // adenine
pimeloyl-CoA + L-alanine + H+  ->  CO2 + (8S)-8-amino-7-oxononanoate + coenzyme A	EC-2.3.1.47		L-alanine // pimeloyl-CoA // H<SUP>+</SUP> // CO<SUB>2</SUB> // coenzyme A // (8<i>S</i>)-8-amino-7-oxononanoate
(3R)-3-hydroxybutanoyl-CoA + NADP+  <-  acetoacetyl-CoA + NADPH + H+	EC-1.1.1.36	ethylmalonyl-CoA pathway // polyhydroxybutanoate biosynthesis	NADP<sup>+</sup> // (3<i>R</i>)-3-hydroxybutanoyl-CoA // acetoacetyl-CoA // NADPH // H<SUP>+</SUP>
a nascent [peptidoglycan]n with (L-alanyl-gamma-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine) pentapeptide + ditrans,octacis-undecaprenyldiphospho-[(N-acetyl-beta-D-glucosaminyl)-(1,4)-]-N-acetyl-alpha-D-muramoyl-L-alanyl-gamma-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine  ->  a nascent [peptidoglycan]n+1 with (L-alanyl-gamma-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine) pentapeptide + di-trans,octa-cis-undecaprenyl diphosphate	EC-2.4.1.129	peptidoglycan maturation (<i>meso</i>-diaminopimelate containing)	<i>ditrans,octacis</i>-undecaprenyldiphospho-[(<i>N</i>-acetyl-&beta;-D-glucosaminyl)-(1,4)-]-<i>N</i>-acetyl-&alpha;-D-muramoyl-L-alanyl-&gamma;-D-glutamyl-<I>meso</I>-2,6-diaminopimeloyl-D-alanyl-D-alanine // a nascent peptidoglycan with (L-alanyl-&gamma;-D-glutamyl-<i>meso</i>-2,6-diaminopimeloyl-D-alanyl-D-alanine) pentapeptide // <i>di-trans,octa-cis</i>-undecaprenyl diphosphate
butan-2-one + hydrogencarbonate + 2 ATP + 3 H2O  ->  3-oxopentanoate + 2 AMP + 4 phosphate + 4 H+	EC-6.4.1.6		H<sub>2</sub>O // ATP // hydrogencarbonate // butan-2-one // 3-oxopentanoate // AMP // phosphate // H<SUP>+</SUP>
aldehydo-D-arabinose 5-phosphate  <-->  D-arabinofuranose 5-phosphate		CMP-3-deoxy-D-<I>manno</I>-octulosonate biosynthesis	<i>aldehydo</i>-D-arabinose 5-phosphate // D-arabinofuranose 5-phosphate
bacteriochlorophyllide a + ADP + 2 an oxidized ferredoxin [iron-sulfur] cluster + phosphate  <-  3-acetyl-3-devinylchlorophyllide a + ATP + 2 a reduced ferredoxin [iron-sulfur] cluster + H2O + H+	EC-1.3.7.15	bacteriochlorophyll <i>a</i> biosynthesis	phosphate // an oxidized ferredoxin [iron-sulfur] cluster // ADP // bacteriochlorophyllide <i>a</i> // 3-acetyl-3-devinylchlorophyllide <i>a</i> // ATP // a reduced ferredoxin [iron-sulfur] cluster // H<sub>2</sub>O // H<SUP>+</SUP>
a [protein]-N6-[1,1-(5-adenosylyl-alpha-D-ribose-1,2-di-O-yl)ethyl]-L-lysine + H2O  ->  a [protein]-L-lysine + 2''-O-acetyl-ADP-ribose		a [protein]-N6-acetyl-L-lysine + NAD+ + H2O  ->  a [protein]-L-lysine + 2''-O-acetyl-ADP-ribose + nicotinamide	H<sub>2</sub>O // a [protein]-<i>N</i><sup>6</sup>-[1,1-(5-adenosylyl-&alpha;-D-ribose-1,2-di-O-yl)ethyl]-L-lysine // a [protein]-L-lysine // 2''-<i>O</i>-acetyl-ADP-ribose
crotonyl-[acyl-carrier protein] reductase (NADP)	EC-1.3.1.39 // EC-1.3.1.10	octanoyl-[acyl-carrier protein] biosynthesis (mitochondria, yeast)	NADP<sup>+</sup> // a butanoyl-[acp] // a (2<i>E</i>)-but-2-enoyl-[acp] // NADPH // H<SUP>+</SUP>
sarcosine + oxygen + H2O  ->  glycine + formaldehyde + hydrogen peroxide	EC-1.5.3.1	glycine betaine degradation I	sarcosine // H<sub>2</sub>O // oxygen // glycine // formaldehyde // hydrogen peroxide
a CDP-diacylglycerol + L-serine  ->  CMP + a phosphatidylserine + H+	EC-2.7.8.8	phosphatidylserine and phosphatidylethanolamine biosynthesis I	L-serine // a CDP-diacylglycerol // CMP // a phosphatidylserine // H<SUP>+</SUP>
carbamoyl phosphate  ->  cyanate + phosphate + H+			carbamoyl phosphate // cyanate // phosphate // H<SUP>+</SUP>
(7R,8S)-8-amino-7-(carboxyamino)nonanoate + ATP  ->  dethiobiotin + ADP + phosphate + H+		(7R,8S)-diaminononanoate + CO2 + ATP  ->  dethiobiotin + ADP + phosphate + 3 H+	ATP // (7<i>R</i>,8<i>S</i>)-8-amino-7-(carboxyamino)nonanoate // dethiobiotin // phosphate // ADP // H<SUP>+</SUP>
cobalt-precorrin-6B + NAD+  <-  cobalt-precorrin-6A + NADH	EC-1.3.1.106	cob(II)yrinate <i>a,c</i>-diamide biosynthesis I (early cobalt insertion)	NAD<sup>+</sup> // cobalt-precorrin-6B // cobalt-precorrin-6A // NADH
2-(2-carboxy-4-methylthiazol-5-yl)ethyl phosphate + 4-amino-2-methyl-5-(diphosphooxymethyl)pyrimidine + 2 H+  ->  thiamine phosphate + CO2 + diphosphate	EC-2.5.1.3	thiamine diphosphate biosynthesis II (Bacillus) // thiamine diphosphate biosynthesis III (Staphylococcus)	H<SUP>+</SUP> // 4-amino-2-methyl-5-(diphosphooxymethyl)pyrimidine // 2-(2-carboxy-4-methylthiazol-5-yl)ethyl phosphate // thiamine phosphate // CO<SUB>2</SUB> // diphosphate
