Compound	SMILES
cobalt-precorrin-6B	C[C@@]7(CCC([O-])=O)([C@@H](CC([O-])=O)[C@H]3([N+]8(/[Co-2]25(N1(C(/C(\CCC([O-])=O)=C(CC(=O)[O-])\C(C)1CC6(\[N+]/2=C(\C=C4([C@H]([C@]([C@@]3(C)N45)(C)CC([O-])=O)CCC(=O)[O-]))/[C@@](C)(CC([O-])=O)C(/CCC([O-])=O)=6))=C/C\7=8)))))
D-gluconate	C(O)[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C(=O)[O-]
UDP-3-<i>O</i>-[(3<i>R</i>)-3-hydroxymyristoyl]-<i>N</i>-acetyl-&alpha;-D-glucosamine	CCCCCCCCCCC[C@H](CC(O[C@@H]3([C@H]([C@@H](OP(=O)([O-])OP(=O)(OC[C@@H]2([C@H]([C@H]([C@H](N1(\C=C/C(=O)NC1=O))O2)O)O))[O-])O[C@@H]([C@H]3O)CO)NC(=O)C))=O)O
cytidine	C(O)[C@@H]2([C@H]([C@H]([C@H](N1(\C=C/C(/N)=N\C(=O)1))O2)O)O)
(S)-4-amino-5-oxopentanoate	C([C@H](CCC([O-])=O)[NH3+])=O
trimethylamine <i>N</i>-oxide	CN(=O)(C)C
a peptidoglycan dimer (<I>meso</I>-diaminopimelate containing)	CC(C)=CCCC(\C)=C/CCC(\C)=C/CCC(/C)=C/CCC(/C)=C/CCC(/C)=C/CCC(/C)=C/CCC(/C)=C/CCC(/C)=C/CCC(/C)=C/CCC(/C)=C/COP(OP([O-])(=O)O[C@@H]4([C@H](NC(=O)C)[C@@H](O[C@H](C)C(=O)N[C@@H](C)C(=O)N[C@@H](C(=O)[O-])CCC(=O)N[C@@H](CCC[C@@H]([NH3+])C(=O)[O-])C(N[C@H](C)C(=O)N[C@H](C)C([O-])=O)=O)[C@H](O[C@@H]3(O[C@H](CO)[C@@H](O[C@@H]2([C@H](NC(=O)C)[C@@H](O[C@H](C)C(=O)N[C@@H](C)C(=O)N[C@@H](C(=O)[O-])CCC(=O)N[C@@H](CCC[C@@H]([NH3+])C(=O)[O-])C(N[C@H](C)C(=O)N[C@H](C)C([O-])=O)=O)[C@H](O[C@@H]1(O[C@H](CO)[C@@H](O)[C@H](O)[C@@H](NC(=O)C)1))[C@@H](CO)O2))[C@H](O)[C@@H](NC(=O)C)3))[C@@H](CO)O4))([O-])=O
&beta;-L-fucopyranose	C[C@@H]1(O[C@@H]([C@H]([C@@H]([C@@H]1O)O)O)O)
a-lara-PEN-1:4	
L-leucine	CC(C[C@H]([NH3+])C([O-])=O)C
(3R)-3-hydroxy-2-oxo-4 phosphooxybutanoate	C([C@H](C(C([O-])=O)=O)O)OP([O-])(=O)[O-]
2,5-diamino-6-(5-phospho-D-ribitylamino)pyrimidin-4(3H)-one	C(NC1(/N=C(N)\NC(=O)C(/N)=1))[C@H](O)[C@H](O)[C@H](O)COP([O-])(=O)[O-]
b-xglc-HEX-1:5|6:d	
GLYCO-CT-N-ACETYL	
nt-pentose-ring	C(C1(C(C(CO1)O)O))O
b-PEN-1:5	
3-(imidazol-4-yl)-2-oxopropyl phosphate	C1(\N\C=N/C(\CC(COP([O-])(=O)[O-])=O)=1)
carbonate	C([O-])(=O)[O-]
Fe<SUP>3+</SUP>	[Fe+3]
(8<i>S</i>)-8-amino-7-oxononanoate	C[C@@H](C(CCCCCC([O-])=O)=O)[NH3+]
&beta;-D-arabinofuranose	C(O)[C@@H]1([C@@H](O)[C@H](O)[C@H](O)O1)
O-ureido-L-homoserine	C(C[C@@H](C(=O)[O-])[NH3+])ONC(=O)N
N&alpha;,N&epsilon;-diacetyl-lysyl-D-alanine	CC(C([O-])=O)NC(=O)C(NC(=O)C)CCCCNC(C)=O
&gamma;-L-glutamyl-(<i>S</i>)-2-aminobutanoate	CC[C@@H](C([O-])=O)NC(CC[C@@H](C(=O)[O-])[NH3+])=O
allantoate	C(C(=O)[O-])(NC(=O)N)NC(=O)N
2-C-methyl-D-erythritol 4-phosphate	C[C@](O)(CO)[C@H](O)COP([O-])([O-])=O
4-methyl-2-oxopentanoate	CC(C)CC(C([O-])=O)=O
prenol	CC(C)=CCO
orotate	C1(\C(=O)NC(NC(/C([O-])=O)=1)=O)
all-<i>trans</i>-heptaprenyl diphosphate	CC(C)=CCCC(\C)=C/CCC(\C)=C/CCC(\C)=C/CCC(\C)=C/CCC(\C)=C/CCC(\C)=C/COP(=O)([O-])OP(=O)([O-])[O-]
coenzyme A	CC(C)(COP([O-])(=O)OP(OC[C@H]3(O[C@@H](N1(C2(\N=C/N=C(C(\N=C/1)=2)/N)))[C@H](O)[C@H](OP([O-])(=O)[O-])3))(=O)[O-])[C@@H](O)C(=O)NCCC(=O)NCCS
precorrin-3B	C[C@]6(CC(=O)[O-])([C@@H](C2(\N=C(\C=C1([C@@H](CCC(=O)[O-])[C@]5(C)(CC(=O)O[C@@](N1)([C@](O)(C)C4(\NC(/CC3(\NC(/C=2)=C(CC(=O)[O-])/C(\CCC(=O)[O-])=3))=C(CCC(=O)[O-])/C(\CC(=O)[O-])=4))5)))/6))CCC(=O)[O-])
&alpha;-D-fructofuranose 1-phosphate	C(O)[C@@H]1([C@@H](O)[C@H](O)[C@@](COP([O-])([O-])=O)(O)O1)
3-phospho-D-glyceroyl phosphate	C([C@@H](O)C(OP(=O)([O-])[O-])=O)OP(=O)([O-])[O-]
pyridoxal 5'-phosphate	CC1(/N=C\C(\COP(=O)([O-])[O-])=C(C(/O)=1)\C=O)
<i>ditrans,octacis</i>-undecaprenyldiphospho-<i>N</i>-acetyl-(<i>N</i>-acetylglucosaminyl)muramoyl-L-alanyl-&gamma;-D-isoglutaminyl-L-lysyl-(glycyl)<sub>5</sub>-D-alanyl-D-alanine	CC(C)=CCCC(\C)=C/CCC(\C)=C/CCC(/C)=C/CCC(/C)=C/CCC(/C)=C/CCC(/C)=C/CCC(/C)=C/CCC(/C)=C/CCC(/C)=C/CCC(/C)=C/COP([O-])(=O)OP([O-])(=O)O[C@H]2(O[C@H](CO)[C@@H](O[C@@H]1(O[C@H](CO)[C@@H](O)[C@H](O)[C@@H](NC(=O)C)1))[C@H](O[C@H](C)C(=O)N[C@@H](C)C(=O)N[C@H](CCC(=O)N[C@@H](CCCCNC(CNC(CNC(CNC(CNC(C[NH3+])=O)=O)=O)=O)=O)C(N[C@H](C)C(N[C@@H](C(=O)[O-])C)=O)=O)C(=O)N)[C@@H](NC(C)=O)2)
hydantoin	C1(NC(CN1)=O)=O
S-adenosyl-4-methylsulfanyl-2-oxobutanoate	C[S+](CCC(C([O-])=O)=O)C[C@H]1(O[C@H]([C@@H]([C@@H]1O)O)N2(C3(\C(\N=C/2)=C(N)/N=C\N=3)))
uridine	C(O)[C@@H]2([C@H]([C@H]([C@H](N1(\C=C/C(=O)NC1=O))O2)O)O)
canavaninosuccinate	C(ONC(NC(CC(=O)[O-])C(=O)[O-])=[NH2+])C[C@H]([NH3+])C([O-])=O
selenate	O=[Se](=O)([O-])[O-]
b-dara-HEX-2:5|2:keto	
