'S-3-indol-3-ylmethyl-6_7_8_8a-tetrahydropyrrolo1_2-apyrazin-1-one'	'O=C1NC(Cc2c[nH]c3ccccc23)=CN2CCC[C@@H]12'
'N-13Z-docosenoyl-4R-hydroxysphinganine'	'CCCCCCCC/C=C\CCCCCCCCCCCC(=O)N[C@@H](CO)[C@H](O)[C@H](O)CCCCCCCCCCCCCC'
'neurotensin1-10'	'CC(C)C[C@H](NC(=O)[C@@H]1CCC(=O)N1)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](CCCCN)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N1CCC[C@H]1C(=O)O'
'chrodrimanin_H'	'C[C@@H]1Cc2c3c(cc(O)c2C(=O)O1)O[C@@]1(C)[C@@H](O)C[C@H]2C(C)(C)C(=O)CC[C@]2(C)[C@@H]1C3'
'2_4-dihydroxypteridine'	'Oc1nc(O)c2nccnc2n1'
'7-oxo-taurodeoxycholate'	'C[C@H](CCC(=O)NCCS(=O)(=O)O)[C@H]1CC[C@H]2[C@@H]3C(=O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3C[C@H](O)[C@@]21C'
'16alpha_17beta-dihydroxyandrost-4-en-3-one'	'C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1C[C@@H](O)[C@@H]2O'
'10Z_13Z_16Z_19Z-docosatetraenoyl-CoA'	'CC/C=C\C/C=C\C/C=C\C/C=C\CCCCCCCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O'
'diphenylmethanol'	'OC(c1ccccc1)c1ccccc1'
'13-9Z-hexadecenoyloxy-octadecanoate'	'CCCCCC/C=C\CCCCCCCC(=O)OC(CCCCC)CCCCCCCCCCCC(=O)O'
'delphinidin_3-O-beta-D-galactoside'	'OC[C@H]1O[C@@H](Oc2cc3c(O)cc(O)cc3[o+]c2-c2cc(O)c(O)c(O)c2)[C@H](O)[C@@H](O)[C@H]1O'
'chrodrimanin_C'	'C[C@@H]1Cc2c3c(cc(O)c2C(=O)O1)O[C@@]1(C)CC[C@H]2C(C)(C)C(=O)CC[C@]2(C)[C@@H]1C3'
'1-O-eicosanyl_9Z-octadecenoate'	'CCCCCCCC/C=C\CCCCCCCC(=O)OCCCCCCCCCCCCCCCCCCCC'
'2-hydroxytetradecanoyl-CoA'	'CCCCCCCCCCCCC(O)C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O'
'8_20-dihydroxy-5Z_9E_11Z_14Z-eicosatetraenoate'	'O=C(O)CCC/C=C\CC(O)/C=C/C=C\C/C=C\CCCCCO'
'plus--trans-acenaphthene-1_2-diol'	'O[C@@H]1c2cccc3cccc(c23)[C@H]1O'
'2R-2-O-alpha-D-glucopyranosyl-1->6-alpha-D-glucopyranosyl-glycerate'	'O=C(O)[C@@H](CO)O[C@H]1O[C@H](CO[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H](O)[C@H]1O'
'bis-gamma-glutamylcystine'	'NC(CCC(=O)NC(CSSCC(NC(=O)CCC(N)C(=O)O)C(=O)O)C(=O)O)C(=O)O'
'2Z-2-3_4-dioxocyclohexa-1_5-dien-1-ylmethylidene-4-4-hydroxyphenyl-5-oxo-2_5-dihydrofuran-3-olate'	'O=C1C=CC(/C=C2\OC(=O)C(c3ccc(O)cc3)=C2O)=CC1=O'
'butyl_hexanoate'	'CCCCCC(=O)OCCCC'
'quiannulatate'	'CC1=C2C[C@]3(C(=O)O)CC[C@@H](C(C)C)[C@H]3C[C@@H]2[C@@]23CC[C@@H](C)[C@@H]2CC[C@@]13C'
'pseudolaratriene'	'CC(C)=CC/C=C(/C)[C@@H]1CC[C@@]2(C)CC=C(C)CC[C@H]12'
'3R-hydroxy-19Z_22Z_25Z_28Z_31Z-tetratriacontapentaenoyl-CoA'	'CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCCCCCCCCCCCCC[C@@H](O)CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O'
'1-9Z-octadecenoyl-2-9Z-hexadecenoyl-sn-glycero-3-phosphoethanolamine'	'CCCCCC/C=C\CCCCCCCC(=O)O[C@H](COC(=O)CCCCCCC/C=C\CCCCCCCC)COP(=O)(O)OCCN'
'1-O-methyl-13S-hydroperoxy-9Z_11E-octadecadienoate'	'CCCCC[C@@H](/C=C/C=C\CCCCCCCC(=O)OC)OO'
'2R_4S_6E_8E_10E-1-4-methoxy-5-methylidene-2-oxo-2_5-dihydrofuran-3-yl-2_4-dimethyldodeca-6_8_10-triene-1_5-dione'	'C=C1OC(=O)C(C(=O)[C@H](C)C[C@H](C)C(=O)/C=C/C=C/C=C/C)=C1OC'
'plus-malbrancheamide'	'CC1(C)c2[nH]c3cc(Cl)c(Cl)cc3c2C[C@@]23CN4CCC[C@]4(C[C@@H]12)C(=O)N3'
'5S_6S-epoxy-18-hydroxy-7E_9E_11Z_14Z_16E-eicosapentaenoate'	'CCC(O)/C=C/C=C\C/C=C\C=C\C=C\[C@@H]1O[C@H]1CCCC(=O)O'
'N_N-diacetylchitobionate'	'CC(=O)N[C@@H](C(=O)O)[C@@H](O)[C@H](O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1NC(C)=O)[C@H](O)CO'
'3-deoxy-3_4-didehydro-CTP'	'Nc1ccn([C@@H]2OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)=C[C@H]2O)c(=O)n1'
'discoidol'	'C[C@H]1CCCC2=CCC(C(C)(C)O)C[C@]21C'
'N-benzoyl-L-phenylalaninol'	'O=C(N[C@H](CO)Cc1ccccc1)c1ccccc1'
'a_D-mannosyl-alpha-1->6-inositol-1-phosphate'	'O=P(O)(O)O[C@H]1[C@H](O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]2O)[C@@H](O)[C@H](O)[C@@H](O)[C@H]1O'
'1-octadecanoyl-2-hexadecanoyl-sn-glycero-3-phosphocholine'	'CCCCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)(O)OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCCCC'
'N-acetyl-D-galactosamino-1_5-lactone'	'CC(=O)N[C@H]1C(=O)O[C@H](CO)[C@H](O)[C@@H]1O'
'15-hydroperoxy-5Z_8Z_11Z_13E-eicosatetraenoate'	'CCCCCC(/C=C/C=C\C/C=C\C/C=C\CCCC(=O)O)OO'
'1_2-di-9Z-octadecenoyl-3-9Z_12Z-octadecadienoyl-sn-glycerol'	'CCCCC/C=C\C/C=C\CCCCCCCC(=O)OC[C@@H](COC(=O)CCCCCCC/C=C\CCCCCCCC)OC(=O)CCCCCCC/C=C\CCCCCCCC'
'2-O-octanoyl-ADP-D-ribose'	'CCCCCCCC(=O)O[C@H]1C(O)O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]2O[C@@H](n3cnc4c(N)ncnc43)[C@H](O)[C@@H]2O)[C@H]1O'
'1-butyrylglycerol'	'CCCC(=O)OCC(O)CO'
'L-alanyl-L-lysine'	'C[C@H](N)C(=O)N[C@@H](CCCCN)C(=O)O'
'S-N-methylglaucine'	'COc1cc2c(cc1OC)-c1c(OC)c(OC)cc3c1[C@H](C2)[N+](C)(C)CC3'
'2-oxophytanate'	'CC(C)CCCC(C)CCCC(C)CCCC(C)C(=O)C(=O)O'
'8_12-diethyl-3-vinylbacteriochlorophyllide_d'	'C=Cc1c(C)c2n3c1=CC1=[N+]4C(=Cc5c(CC)c6c7n5[Mg-2]34[N+]3=C(C=2)[C@@H](C)[C@H](CCC(=O)O)C3=C7CC6=O)C(CC)=C1C'
'dehydroepiandrosterone_3-beta-D-glucoside'	'C[C@]12CC[C@H]3[C@@H](CC=C4C[C@@H](O[C@@H]5O[C@H](CO)[C@@H](O)[C@H](O)[C@H]5O)CC[C@@]43C)[C@@H]1CCC2=O'
'dihydrodigoxigenin'	'C[C@]12CC[C@H](O)C[C@H]1CC[C@@H]1[C@@H]2C[C@@H](O)[C@]2(C)[C@@H]([C@@H]3COC(=O)C3)CC[C@]12O'
'2-all-trans-decaprenylphenol'	'CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/Cc1ccccc1O'
'6alpha-hydroxy-17beta-estradiol'	'C[C@]12CC[C@@H]3c4ccc(O)cc4[C@@H](O)C[C@H]3[C@@H]1CC[C@@H]2O'
'serpentine'	'COC(=O)C1=CO[C@@H](C)[C@H]2C[n+]3ccc4c([nH]c5ccccc54)c3C[C@H]12'
'4-hydroxy-L-proline'	'O=C(O)[C@@H]1CC(O)CN1'
'koraiol'	'CC1(C)C[C@H]2[C@@H]1CC[C@](C)(O)[C@H]1CC[C@]21C'
'O-isobutanoyl-R-carnitine'	'CC(C)C(=O)O[C@H](CC(=O)O)C[N+](C)(C)C'
'ubiquinol-7'	'COc1c(O)c(C)c(C/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CCC=C(C)C)c(O)c1OC'
'2-hydroxyoctadecanal'	'CCCCCCCCCCCCCCCCC(O)C=O'
